%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	ethVlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF
A	6	0x0400000000004000	1689962229.598175	1689962234.597669	4.999494	1	3	eth:ipv4:tcp	5c:e9:1e:6a:fd:c6	b8:d9:4d:f1:84:60	0x0800		192.168.2.168	07	"Private network"	55749	52.223.241.20	us	"Amazon Technologies Inc"	443	6	0x00	1	5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_13	-_SagemcomB,FR	443	https	13	13	1747	9484	0	1150	134.3846	295.831	0	4.052113	0.3845765	1.028825	2.600263	349.4354	0	-0.6888968	0x0a33	0	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1715907247	12	1747	0	12	9484	0	1230	65535	129517.8	65535	132480	5	3	6	0	0x011b	0x0000	13	43	0x0000011e	1460	64	0x0000	0x00	0	0x00	1990108154	3534780327	0.001	1990108.248525	1687972126.349144	0.022847	0.021342	4.051892	0.3789687	1.017172	0.023087	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	6	1	8	16	2.666667
B	6	0x0400000000004001	1689962229.621022	1689962234.624133	5.003111	1	3	eth:ipv4:tcp	b8:d9:4d:f1:84:60	5c:e9:1e:6a:fd:c6	0x0800		52.223.241.20	us	"Amazon Technologies Inc"	443	192.168.2.168	07	"Private network"	55749	6	0x00	1	b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_13	SagemcomB,FR_-	443	https	13	13	9484	1747	0	1440	729.5385	556.4674	0	4.052295	0.3848547	1.030049	2.598383	1895.621	0	0.6888968	0x0213	13339	52187	57	57	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	312814314	13	9484	0	13	1747	0	5315	65160	64534.54	64512	65160	2	0	0	0	0x031b	0x0000	13	41	0x0000011e	1452	512	0x0000	0x00	0	0x00	3534781099	1990108154	0.001	3534781.266893	1686427453.357240	0.00024	3.8e-05	0.695038	0.05460723	0.1776348	0.433576	1.032566	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	7	15	15
A	11	0x0400000000004000	1689962234.599908	1689962239.593523	4.993615	1	3	eth:ipv4:tcp	5c:e9:1e:6a:fd:c6	b8:d9:4d:f1:84:60	0x0800		192.168.2.168	07	"Private network"	55751	52.223.241.20	us	"Amazon Technologies Inc"	443	6	0x00	1	5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_15	-_SagemcomB,FR	443	https	15	15	1747	11520	0	1150	116.4667	276.4578	0	4.033005	0.3329077	0.9755877	3.003836	349.8467	0	-0.7366398	0x0a33	0	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2389369535	14	1747	0	14	11520	0	1230	65535	130060.1	65535	132480	6	5	7	0	0x011b	0x0000	15	49	0x0000011e	1460	64	0x0000	0x00	0	0x00	4170005200	3990357556	0.001	4170005.398065	1685792234.195459	0.022259	1.3e-05	4.032847	0.2814589	0.9661859	0.022446	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	6	1	7	15	2.5
B	11	0x0400000000004001	1689962234.622167	1689962239.618031	4.995864	1	3	eth:ipv4:tcp	b8:d9:4d:f1:84:60	5c:e9:1e:6a:fd:c6	0x0800		52.223.241.20	us	"Amazon Technologies Inc"	443	192.168.2.168	07	"Private network"	55751	6	0x00	1	b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_15	SagemcomB,FR_-	443	https	15	15	11520	1747	0	1440	768	588.2064	0	4.032895	0.3330576	0.9769022	3.002484	2305.907	0	0.7366398	0x0213	32874	32650	57	57	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	752590887	15	11520	0	15	1747	0	3595	65160	64523.05	64512	65160	2	0	0	0	0x031b	0x0000	15	47	0x0000011e	1452	512	0x0000	0x00	0	0x00	3990358491	4170005200	0.001	3990358.680532	1685971880.937500	0.000187	2.9e-05	0.877098	0.05938934	0.2111416	0.3408482	0.9889873	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	6	14	14
A	15	0x0400000000004000	1689962239.596805	1689962244.596500	4.999695	1	3	eth:ipv4:tcp	5c:e9:1e:6a:fd:c6	b8:d9:4d:f1:84:60	0x0800		192.168.2.168	07	"Private network"	55752	52.223.241.20	us	"Amazon Technologies Inc"	443	6	0x00	1	5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_15	-_SagemcomB,FR	443	https	15	15	1747	12384	0	1150	116.4667	276.4578	0	4.058268	0.333313	0.9811701	3.000183	349.4213	0	-0.7527422	0x0a33	0	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1705406947	14	1747	0	14	12384	0	1230	65535	129928.4	65535	132480	6	5	7	0	0x011b	0x0000	15	49	0x0000011e	1460	64	0x0000	0x00	0	0x00	4246350448	1920167823	0.001	4246350.649691	1685715893.946810	0.021227	1.5e-05	4.058053	0.2812481	0.9727356	0.021533	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	6	1	7	15	2.5
B	15	0x0400000000004001	1689962239.618032	1689962244.620001	5.001969	1	3	eth:ipv4:tcp	b8:d9:4d:f1:84:60	5c:e9:1e:6a:fd:c6	0x0800		52.223.241.20	us	"Amazon Technologies Inc"	443	192.168.2.168	07	"Private network"	55752	6	0x00	1	b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_15	SagemcomB,FR_-	443	https	15	15	12384	1747	0	1440	825.6	568.6478	0	4.058075	0.3334646	0.9823801	2.998819	2475.825	0	0.7527422	0x0213	18120	47404	57	57	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2786335150	15	12384	0	15	1747	0	3595	65160	64523.05	64512	65160	2	0	0	0	0x031b	0x0000	15	47	0x0000011e	1452	512	0x0000	0x00	0	0x00	1920168767	4246350448	0.001	1920168.858203	1688042075.761798	0.000306	2.2e-05	0.863513	0.05838874	0.2078898	0.3396368	0.9947024	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	6	14	14
A	17	0x0400000000004000	1689962244.599225	1689962249.597167	4.997942	1	3	eth:ipv4:tcp	5c:e9:1e:6a:fd:c6	b8:d9:4d:f1:84:60	0x0800		192.168.2.168	07	"Private network"	55753	52.223.241.20	us	"Amazon Technologies Inc"	443	6	0x00	1	5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_13	-_SagemcomB,FR	443	https	13	18	1747	15270	0	1150	134.3846	293.1654	0	4.049534	0.3844571	1.035161	2.601071	349.5439	-0.1612903	-0.7946759	0x0a33	0	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1420459047	12	1747	0	12	15270	0	1230	65535	129234.2	65535	132480	5	4	6	0	0x011b	0x0000	13	43	0x0000011e	1460	64	0x0000	0x00	0	0x00	3579200784	2933304456	0.001	3579200.954003	1686383048.643165	0.022737	0.006236	4.049286	0.2399864	0.8963697	0.022881	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	6	1	8	16	2.666667
B	17	0x0400000000004001	1689962244.621962	1689962249.644861	5.022899	1	3	eth:ipv4:tcp	b8:d9:4d:f1:84:60	5c:e9:1e:6a:fd:c6	0x0800		52.223.241.20	us	"Amazon Technologies Inc"	443	192.168.2.168	07	"Private network"	55753	6	0x00	1	b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_18	SagemcomB,FR_-	443	https	18	13	15270	1747	0	1440	848.3333	582.8921	0	4.049455	0.27905	0.9088934	3.583588	3040.077	0.1612903	0.7946759	0x0213	52254	13267	57	57	0	0x00	0x2044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1868974975	18	15270	0	18	1747	0	10120	65160	64515.79	64512	65160	2	0	0	0	0x031b	0x0000	18	56	0x0000011e	1452	512	0x0000	0x00	0	0x00	2933305394	3579200784	0.001	2933305.533325	1687028944.111537	0.000144	0.000113	0.846452	0.06633124	0.2163779	0.3063176	0.922116	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	7	15	15
A	18	0x0400000000004000	1689962249.600011	1689962254.596904	4.996893	1	3	eth:ipv4:tcp	5c:e9:1e:6a:fd:c6	b8:d9:4d:f1:84:60	0x0800		192.168.2.168	07	"Private network"	55754	52.223.241.20	us	"Amazon Technologies Inc"	443	6	0x00	1	5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_12	-_SagemcomB,FR	443	https	12	19	1747	16548	0	1150	145.5833	302.6602	0	4.044248	0.4164078	1.064744	2.401492	349.6172	-0.2258064	-0.8090189	0x0a33	0	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1480761527	11	1747	0	11	16548	0	1230	65535	128665.6	65535	132480	4	4	5	0	0x011b	0x0000	12	40	0x0000011e	1460	64	0x0000	0x00	0	0x00	2533927419	1920177856	0.001	2533927.539355	1687428327.057549	0.044848	0.004291	4.043978	0.2273794	0.8743009	0.045114	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	6	1	8	16	2.666667
B	18	0x0400000000004001	1689962249.644859	1689962254.622051	4.977192	1	3	eth:ipv4:tcp	b8:d9:4d:f1:84:60	5c:e9:1e:6a:fd:c6	0x0800		52.223.241.20	us	"Amazon Technologies Inc"	443	192.168.2.168	07	"Private network"	55754	6	0x00	1	b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_19	SagemcomB,FR_-	443	https	19	12	16548	1747	0	1440	870.9474	581.5085	0	4.044152	0.2619575	0.8857048	3.817414	3324.766	0.2258064	0.8090189	0x0213	45432	20088	57	57	0	0x00	0x2044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	358950400	19	16548	0	19	1747	0	10120	65160	64514.65	64512	65160	2	0	0	0	0x031b	0x0000	19	59	0x0000011e	1452	512	0x0000	0x00	0	0x00	1920178769	2533927419	0.001	1920178.860204	1688042075.761848	0.000266	0.000138	0.827832	0.07033267	0.218685	0.2977121	0.9012353	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	7	15	15
