"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpSeqFaultCnt","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN"
842,288230376151728128,30.360043,3,2048,443,52937,6,443,26,23,9945,3044,0,1368,382.5,502.2634,30.03952,1.167694,5.641727,0.8563888,327.5687,0.06122449,0.5312957,16915,1,12684,55,55,0,0,16448,4185868544,25,9922,0,26,3020,1,2369,65160,64132.39,64128,65160,2,0,0,1823,136,26,83,318,1380,128,1314118177,3203688848,0.01,13141181.48,1673125042,7.8e-05,2.2e-05,0.01461203,0.002158436,0.00416604,2.333075,7.818945,66,0,0,0,1,7,1,177,177,177,26,9945,"0"
221,288230376151728128,1.142103,3,2048,51564,443,6,443,985,428,1324651,6694,0,1368,1344.823,170.1901,0.836465,0.001159496,0.02673982,862.4442,1159835,0.3941967,0.989944,2611,0,1,64,64,0,0,16452,3918375250,984,1324652,0,984,6694,0,224352,65535,130972.1,65535,131328,9,9,10,283,0,985,2959,286,1460,64,613685049,1713914216,0.1,61368505.81,1624871739,0.03258598,1.7e-05,0.836271,0.01148166,0.05707266,0.03272602,0,2,0,0,0,6,1,62,146,24.33333,2.354839,361972,477599499,"0"
490,288230376151728128,0.998682,3,2048,53716,443,6,443,1421,613,1906249,6834,0,1368,1341.484,182.643,0.645569,0.000702802,0.0172533,1422.875,1908765,0.3972468,0.9928555,2611,0,1,64,64,0,0,16452,2506104422,1420,1906250,0,1420,6834,0,281808,65535,130943.8,65535,131328,12,11,13,283,0,1421,4267,286,1460,64,3641022142,3091953473,0.001,3641022.315,1682606752,0.032551,3.1e-05,0.645382,0.0127513,0.05180547,0.032726,0,2,0,0,0,3,1,162,162,54,1,692117,915331301,"0"
200,288230376151728128,1.148614,3,2048,51550,443,6,443,1875,877,2477720,6907,0,1368,1321.451,244.2523,0.785412,0.000612594,0.01823703,1632.402,2157139,0.3626454,0.9944402,2611,0,1,64,64,0,0,16452,4204260398,1874,2477721,0,1874,6907,0,370542,65535,130943.8,65535,131328,13,11,14,283,0,1875,5629,286,1460,64,2282624816,4253304767,0.001,2282624.924,1683957600,0.03098298,0.000164,0.785276,0.01064456,0.05293611,0.03119698,0,2,0,0,0,6,1,90,144,24,1.6,342190,451538948,"0"
1248,288230376151728128,40.469047,3,2048,443,57581,17,443,13,12,3480,4110,31,1200,267.6923,330.0427,20.1915,3.113004,6.958652,0.3212332,85.99165,0.04,-0.08300395,1,0,0,56,56,0,0,16448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.01527398,0.001397952,20.17056,5.014117,8.252949,5.044594,8.253076,0,0,0,0,1,6,1,49,49,49,56,12338,"0"
755,288230376151728128,1.208901,3,2048,443,52001,6,443,1055,2299,7086,3017203,0,1368,6.716588,75.12318,0.831394,0.001145878,0.02568138,872.6934,5861.522,-0.3709004,-0.9953139,18995,1,52360,120,120,0,0,16452,979190581,1054,7047,0,1055,3029516,17,4697,65535,3896901,65535,3897856,130,835,131,795,200,1055,3368,318,1380,256,1787352619,1361830885,0.1,178735264.6,1507505622,0.000195,2.6e-05,0.002653024,0.000702326,0.000545669,0.01142138,0.051424,2,0,0,0,1,6,161,163,163,1.012422,86270,785933,"0"
259,288230376151728128,0,3,2048,53,58480,17,53,1,1,77,32,77,77,77,0,0,0,0,0,0,0,0.412844,1,65535,0,63,63,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.02219802,0,0,0,0,0,1,9,93,93,93,1,117,9244,"0"
519,288230376151728128,1.211514,3,2048,443,52655,6,443,1354,2400,7088,3131776,0,1368,5.234859,66.25928,0.861203,0.000894767,0.02346531,1117.61,5850.531,-0.2786361,-0.9954837,18995,1,8139,120,120,0,0,16452,1193611888,1353,7049,0,1354,3142721,17,4104,65535,3933440,65535,3933440,40,954,41,795,72,1354,4310,318,1380,256,2243605449,3664237135,0.1,224360548.2,1461905261,0.00015296,1.5e-05,0.004652992,0.000678633,0.000625816,0.009842051,0.05241398,2,0,0,0,1,9,157,177,177,1.127388,141221,1216429,"0"
1461,288230376151728128,0.043791,3,2048,63139,7000,6,7000,8,7,41,3089,0,41,5.125,11.3285,0.018136,0.005473875,0.006153213,182.6859,936.2654,0.06666667,-0.9738019,18963,0,0,63,63,0,96,16448,317497276,7,41,0,7,1715,2,41,65535,125713.8,65535,131904,1,2,2,283,8,8,34,318,1386,64,1005052870,2437205005,1,1005052870,681207951.5,0.000344,0.000123008,0.01045901,0.003147867,0.003958918,0.01349498,0,0,0,0,0,1,3,2,2,2,1,8,41,"0"
1878,288230376151728128,0,3,2048,22,34174,6,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65535,0,64,64,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1044,8192,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.000665,0,67,0,0,0,2,1,1,1,0.5,1,24651712,31651899812,"0"
