"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpSeqFaultCnt","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN","isLab"
8,288230376151728128,0,3,2048,443,54674,6,443,1,0,24,0,24,24,24,0,0,0,0,0,0,-1,1,17,65535,0,52,52,0,0,64,509306100,1,0,0,1,0,0,0,63784,63784,63784,63784,0,0,0,281,4096,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,131,0,0,0,1,16,3,20,20,6.666667,19,360,1,"1"
10,288230376151728128,16.077778,3,2048,443,54692,6,443,9,0,168,0,0,24,18.66667,8.297421,8.29483,1.78642,2.453202,0.5597789,10.44921,-1,1,19,1,1,52,52,0,0,64,2842318068,2,24,0,9,0,0,0,505,505,505,505,0,0,0,281,0,9,27,258,0,0,3334240395,1864823898,0.01,33342403.2,1663775056,0,65535,0,0,0,0,0,3,0,0,0,1,16,2,19,19,9.5,19,360,1,"1"
12,288230376151728128,30.212412,3,2048,443,54801,6,443,11,0,616,0,0,77,56,27.40012,15.187,2.746583,4.307213,0.3640888,20.38897,-1,1,19,1,1,235,235,0,0,16448,1857683595,3,77,0,11,0,0,0,179,179,179,179,0,0,0,281,0,11,33,258,0,0,3684775032,3990006665,0.01,36847749.5,1660269730,0,65535,0,0,0,0,0,3,0,0,0,1,16,1,18,18,18,11,616,1,"1"
13,288230376151728128,31.642456,3,2048,443,54797,6,443,11,0,616,0,0,77,56,27.40012,16.03112,2.876587,4.511686,0.3476342,19.46752,-1,1,19,1,1,243,243,0,0,16448,1733462313,3,77,0,11,0,0,0,209,209,209,209,0,0,0,281,0,11,33,258,0,0,132463993,789901719,0.001,132463.9993,1696985018,0,65535,0,0,0,0,0,3,0,0,0,1,15,1,17,17,17,11,616,1,"1"
14,288230376151728128,32.020608,3,2048,443,54805,6,443,11,0,616,0,0,77,56,27.40012,15.97862,2.910964,4.553677,0.3435288,19.23761,-1,1,19,1,1,243,243,0,0,16448,2849691188,3,77,0,11,0,0,0,122,122,122,122,0,0,0,281,0,11,33,258,0,0,3759948625,3165370484,0.001,3759948.804,1693357533,0,65535,0,0,0,0,0,3,0,0,0,1,14,1,16,16,16,11,616,1,"1"
22,288230376151728128,14.956962,3,2048,443,54728,6,443,9,0,168,0,0,24,18.66667,8.297421,7.481065,1.661885,2.226863,0.6017265,11.23223,-1,1,19,1,1,52,52,0,0,64,3393245841,2,24,0,9,0,0,0,505,505,505,505,0,0,0,281,0,9,27,258,0,0,3334263435,1988104473,0.001,3334263.593,1693783219,0,65535,0,0,0,0,0,3,0,0,0,1,13,1,15,15,15,19,360,1,"1"
3,288230376151728128,0.083099,3,2048,62986,443,17,443,5,2,186,60,30,49,37.2,5.568707,0.042222,0.0166198,0.01724567,60.1692,2238.294,0.4285714,0.5121951,1,0,0,64,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01852602,0.02021498,0.0193705,0.000597138,0.02205901,0,0,0,0,0,12,1,2,14,1.166667,7,170272,209981851,1,"1"
3,288230376151728128,0.040585,3,2048,443,62986,17,443,2,5,60,186,30,30,30,0,0.040585,0.0202925,0.01434896,49.27929,1478.379,-0.4285714,-0.5121951,1,0,0,57,57,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02205901,0.02200698,0.02227098,0.0221014,7.58e-05,0.0414719,0.000601934,0,0,0,0,1,12,1,13,13,13,2,60,1,"1"
2,288230376151728128,0.094064,3,2048,52695,443,17,443,19,10,5687,290,31,1224,299.3158,417.3213,0.015255,0.004950737,0.005471699,201.9901,60458.84,0.3103448,0.9029614,1,0,0,64,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001345984,0.01340403,0.006595796,0.003443459,0,0,0,0,0,0,11,1,2,12,1.090909,6,170272,209981851,1,"1"
2,288230376151728128,0.068307,3,2048,443,52695,17,443,10,19,290,5687,28,30,29,0.9183696,0.038444,0.0068307,0.01032477,146.3979,4245.539,-0.3103448,-0.9029614,1,0,0,57,57,0,0,16448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001011968,0.03709805,0.01409149,0.01159571,0.02068728,0.01209619,0,0,0,0,1,11,1,11,11,11,10,290,1,"1"
