"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpSeqFaultCnt","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN"
215,288230376151728128,1.181307,3,2048,443,59163,6,443,909,2157,6978,2960045,0,1400,7.676568,81.59509,0.800794,0.001299568,0.02658615,769.4867,5907.017,-0.407045,-0.9952963,18967,1,51867,123,123,0,192,16452,2037274734,906,8017,0,909,2623289,31,4696,65535,2560788,65535,2561024,64,658,65,795,584,909,3536,318,1412,256,3957399601,1031444963,0.1,395739966,1290179881,0.000174016,1.02e-06,0.003259008,0.000455773,0.000494508,0.01024629,0.05344224,2,0,0,0,1,6,135,155,155,1.148148,170605,1552884,"0"
261,288230376151728128,1.754056,3,2048,59209,443,6,443,2528,1021,3488565,6910,0,1400,1379.97,149.3964,0.759901,0.000693851,0.01577172,1441.231,1988856,0.4246266,0.9960463,2611,0,1,64,64,0,0,16452,859393407,2503,5370639,1,2527,6910,9,892598,65535,131072,65535,131584,14,15,15,283,76,2528,7588,286,1460,64,1797409021,767974095,0.1,179740904.8,1506179014,0.021982,1.02e-06,0.759588,0.01536161,0.04804176,0.02209,0,2,0,0,0,5,1,46,162,32.4,3.521739,524194,708501927,"0"
1382,288230376151728128,30.799251,3,2048,443,56218,6,443,118660,240942,65325,336998767,0,1400,0.5505225,8.575965,0.776671,0.00025956,0.002454665,3852.691,2120.993,-0.3400482,-0.9996124,18995,1,54892,123,123,0,192,18500,133857989,53112,66120,0,53124,336656596,229,4697,65535,3932672,65535,3932672,228,696,229,795,584,53124,30936,318,1412,256,1993865307,3050157223,0.001,1993865.402,1683904103,0.000192,1.01e-06,0.01283597,0.000203424,0.000799155,0.002145298,0.005311123,2,0,0,0,1,11,1,55,55,55,429370,266406,"0"
663,288230376151728128,1.138006,3,2048,57058,443,6,443,2464,1343,1872723,7846,0,1400,760.0337,648.3749,0.80605,0.000461853,0.01628291,2165.191,1645618,0.2944576,0.9916557,18995,0,1,64,64,0,0,16452,162985171,2446,2277146,0,2463,6768,1,106400,65535,130989.4,65535,131584,12,12,13,283,72,2464,7405,318,1460,64,625543216,1750114321,0.001,625543.2457,1685276972,0.02483904,1.2e-05,0.805886,0.01750645,0.04918582,0.025024,0,2,0,0,0,5,1,156,156,31.2,1,1237788,1651084513,"0"
1134,288230376151728128,3.400023,3,2048,56097,443,6,443,6056,2910,8437229,8742,0,1400,1393.202,85.92846,0.837359,0.000561431,0.01136643,1781.164,2481521,0.3508811,0.9979299,18963,0,1,64,64,0,0,16452,1801732911,6029,10305468,3,6055,7664,2,903506,65535,130993.6,65535,131584,32,33,33,283,78,6056,18181,318,1460,64,3576179562,100025812,0.1,357617961.5,1328278418,0.027388,6.98e-06,0.837209,0.006368629,0.02325139,0.027602,0,2,0,0,0,8,1,26,32,4,1.230769,5994216,8282470653,"0"
750,288230376151728128,2.26519,3,2048,443,57142,6,443,1532,3133,8119,4345217,0,1400,5.299608,68.2438,0.790898,0.001478584,0.0209543,676.323,3584.247,-0.343194,-0.99627,18999,1,18388,123,123,0,192,16452,4126259792,1527,9084,1,1532,3108702,431,3297,65535,3933696,65535,3933696,18,980,19,795,716,1532,5972,318,1412,256,2350978242,2625888232,0.1,235097827.7,1450804820,0.000161008,1.3e-05,0.174444,0.001538268,0.004227435,0.0106426,0.03066882,2,0,0,0,1,2,153,153,153,1,306359,2630051,"0"
622,288230376151728128,1.120494,3,2048,443,53933,6,443,596,1103,6733,1518449,0,1400,11.29698,100.4515,0.804678,0.001880024,0.03295378,531.9083,6008.957,-0.2984108,-0.9911709,18995,1,26194,123,123,0,192,16452,983768053,594,7730,0,596,1398050,1,3295,65535,2343046,65535,2343424,23,534,24,795,712,596,2075,318,1412,256,2864368966,631587448,0.1,286436900.9,1399620314,0.000174976,1.2e-05,0.004990976,0.000248223,0.000256505,0.01243801,0.0677468,2,0,0,0,1,4,149,149,149,1,64490,594014,"0"
181,288230376151728128,0.905176,3,2048,443,56626,6,443,460,991,6701,1361841,0,1400,14.56739,114.2672,0.630532,0.001967774,0.02940662,508.1885,7402.98,-0.3659545,-0.9902071,18967,1,31190,123,123,0,192,16452,3561307993,457,7742,1,460,1300242,7,3297,65535,1803631,65535,1807104,63,342,64,795,588,460,1532,318,1412,256,3689661141,1919690966,0.001,3689661.316,1682212178,0.000193024,1.9e-05,0.003705024,0.000220881,0.000203601,0.008383362,0.03091093,2,0,0,0,1,9,53,151,151,2.849057,133957,1167701,"0"
748,288230376151728128,1.234591,3,2048,54048,443,6,443,2494,1137,3440841,7049,0,1400,1379.648,145.7272,0.781822,0.000495025,0.01571314,2020.102,2787029,0.3737262,0.9959111,18995,0,1,64,64,0,0,16452,2497444070,2470,4224126,1,2493,7049,0,184521,65535,130951,65535,131584,17,16,18,283,68,2494,7489,318,1460,64,334198459,2325304368,0.1,33419846.4,1652637554,0.025556,1.4e-05,0.781664,0.008999388,0.04631484,0.02580998,0,2,0,0,0,8,1,120,142,17.75,1.183333,1270233,1715955748,"0"
822,288230376151728128,1.144138,3,2048,54119,443,6,443,848,473,1161896,6735,0,1400,1370.16,195.2545,0.8688,0.001349219,0.02987204,741.1694,1015521,0.2838759,0.9884737,18995,0,1,64,64,0,0,16452,3106030407,846,1161896,0,847,6696,0,84000,65535,130987.9,65535,131584,7,9,8,283,0,848,2554,318,1460,64,4084881556,969451565,0.1,408488161.7,1277569360,0.024525,2.3e-05,0.868643,0.01447397,0.07928792,0.024664,0,2,0,0,0,5,1,108,108,21.6,1,1563907,2124222339,"0"
