"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpSeqFaultCnt","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN","isLab"
19,288230376151728128,0.045249,3,2048,53782,7000,6,7000,6,7,41,1708,0,41,6.833333,12.68929,0.030503,0.0075415,0.009202717,132.5996,906.0974,-0.07692308,-0.9531161,2579,0,0,64,64,0,0,64,2589376499,5,41,0,5,1708,0,41,65535,120018.6,65535,131712,1,2,2,283,0,6,22,286,1460,64,3398220096,1985687267,1,3398220096,1.84467e+19,0.000353024,7.9e-05,0.02256698,0.006555859,0.008944083,0.004662976,0,0,0,0,0,2,1,2,2,1,1,13,897,1,"0"
19,288230376151728128,0.037295,3,2048,7000,53782,6,7000,7,6,1708,41,0,1448,244,435.3366,0.022474,0.005327857,0.006550274,187.6927,45797.02,0.07692308,0.9531161,2611,0,0,64,64,0,0,64,3419940636,7,1708,0,7,41,0,1708,65535,123926.3,65535,131712,0,1,1,795,0,7,25,286,1460,64,1985687267,3398220088,1,1985687267,1.84467e+19,0.004309952,0.002243008,0.007939008,0.005723157,0.001941395,0.01227902,0.009152357,0,0,0,0,1,2,1,1,1,1,58519,73374463,1,"0"
6,288230376151728128,0,3,2048,62344,53,17,53,1,1,68,57,68,68,68,0,0,0,0,0,0,0,0.088,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.003033,0.003033,0.003033,0.003033,0,0.003033,0,0,0,0,0,3,1,36,36,12,1,218025,277659603,1,"0"
6,288230376151728128,0,3,2048,53,62344,17,53,1,1,57,68,57,57,57,0,0,0,0,0,0,0,-0.088,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.003033,0,0,0,0,0,1,3,35,35,35,1,18,806,1,"0"
7,288230376151728128,0,3,2048,59772,53,17,53,1,1,48,37,48,48,48,0,0,0,0,0,0,0,0.1294118,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.003542,0.003542,0.003542,0.003542,0,0.003542,0,0,0,0,0,3,1,34,34,11.33333,1,218025,277659603,1,"0"
7,288230376151728128,0,3,2048,53,59772,17,53,1,1,37,48,37,37,37,0,0,0,0,0,0,0,-0.1294118,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.003542,0,0,0,0,0,1,3,33,33,33,1,18,806,1,"0"
8,288230376151728128,0,3,2048,56352,53,17,53,1,1,69,58,69,69,69,0,0,0,0,0,0,0,0.08661418,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.004619,0.004619,0.004619,0.004619,0,0.004619,0,0,0,0,0,3,1,32,32,10.66667,1,218025,277659603,1,"0"
8,288230376151728128,0,3,2048,53,56352,17,53,1,1,58,69,58,58,58,0,0,0,0,0,0,0,-0.08661418,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.004619,0,0,0,0,0,1,3,31,31,31,1,18,806,1,"0"
9,288230376151728128,0,3,2048,60691,53,17,53,1,1,49,38,49,49,49,0,0,0,0,0,0,0,0.1264368,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.004587,0.004587,0.004587,0.004587,0,0.004587,0,0,0,0,0,3,1,30,30,10,1,218025,277659603,1,"0"
9,288230376151728128,0,3,2048,53,60691,17,53,1,1,38,49,38,38,38,0,0,0,0,0,0,0,-0.1264368,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.004587,0,0,0,0,0,1,3,29,29,29,1,18,806,1,"0"
