"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpSeqFaultCnt","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN","isLab"
95,576460752303456256,0,3,34525,5353,5353,17,5353,1,0,383,0,383,383,383,0,0,0,0,0,0,1,1,1,65535,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,383,1,"1"
10,288230376151728128,0,3,2048,39586,22,6,22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,65535,0,254,254,0,0,0,3053042246,0,0,0,0,0,0,0,64240,64240,64240,64240,0,0,0,2,4096,1,1,4,1380,0,0,0,0,0,0,0,65535,0,0,0,0,0,3,0,0,0,1,3,25,25,25,1,32,0,1,"1"
29,288230376151728128,56.689083,3,2048,80,54802,6,80,10,0,0,0,0,0,0,0,28.14232,5.668909,8.164417,0.1764008,0,-1,0,19,1,1,120,120,0,0,0,193221107,1,0,0,10,0,0,0,261,261,261,261,0,0,0,273,0,10,30,258,0,0,1344426225,2085771886,0.001,1344426.289,1695773261,0,65535,0,0,0,0,0,131,0,0,0,1,15,4,4,4,1,40,0,1,"1"
96,288230376151728128,0,3,2048,41370,22,6,22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,65535,0,254,254,0,0,0,1698460157,0,0,0,0,0,0,0,64240,64240,64240,64240,0,0,0,2,4096,1,1,4,1380,0,0,0,0,0,0,0,65535,0,0,0,0,0,3,0,0,0,1,3,11,11,11,1,786068,1001696152,1,"1"
14,576460752303456256,7.003997,3,34525,5353,5353,17,5353,4,0,688,0,172,172,172,0,4.001244,1.750999,1.256432,0.5711025,98.22963,1,1,1,65535,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,688,1,"1"
39,288230376151728128,0,3,2048,35434,22,6,22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,65535,0,254,254,0,0,0,2841795878,0,0,0,0,0,0,0,29200,29200,29200,29200,0,0,0,2,4096,1,1,4,1380,0,0,0,0,0,0,0,65535,0,0,0,0,0,3,0,0,0,1,4,13,13,13,1,786014,1001695464,1,"1"
26,288230376151728128,0,3,2048,38942,22,6,22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,65535,0,254,254,0,0,0,2893203878,0,0,0,0,0,0,0,29200,29200,29200,29200,0,0,0,2,4096,1,1,4,1380,0,0,0,0,0,0,0,65535,0,0,0,0,0,3,0,0,0,1,2,9,9,9,1,785997,1001695464,1,"1"
56,288230376151728128,0,3,2048,58210,22,6,22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,65535,0,254,254,0,0,0,1862841623,0,0,0,0,0,0,0,29200,29200,29200,29200,0,0,0,2,4096,1,1,4,1380,0,0,0,0,0,0,0,65535,0,0,0,0,0,3,0,0,0,1,3,2,2,2,1,786018,1001695464,1,"1"
3,288230376151728128,0.040585,3,2048,443,62986,17,443,2,5,60,186,30,30,30,0,0.040585,0.0202925,0.01434896,49.27929,1478.379,-0.4285714,-0.5121951,1,0,0,57,57,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02205901,0.02200698,0.02227098,0.0221014,7.58e-05,0.0414719,0.000601934,0,0,0,0,1,12,1,13,13,13,2,60,1,"1"
61,288230376151728128,0,3,2048,44246,8080,6,8080,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,65535,0,235,235,0,32,64,1265869569,0,0,0,0,0,0,0,14600,14600,14600,14600,0,0,0,2,4096,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,3,0,0,0,1,2,1,1,1,1,49,966,1,"1"
33,288230376151728128,0,3,2048,34574,22,6,22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,65535,0,254,254,0,0,0,3424044119,0,0,0,0,0,0,0,29200,29200,29200,29200,0,0,0,2,4096,1,1,4,1380,0,0,0,0,0,0,0,65535,0,0,0,0,0,3,0,0,0,1,2,6,6,6,1,786001,1001695464,1,"1"
