%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	3	0x0400000000004000	1697030412.053084000	1697030412.053084000	0.000000000	1	3	eth:ipv4:tcp	6c:b1:33:99:9f:26	40:06:d5:ed:7d:02	0x0800		134.190.156.145	ca	"Dalhousie University"	58637	20.189.173.23	us	"Microsoft Corporation"	443	6	0x00	1	6c:b1:33:99:9f:26_40:06:d5:ed:7d:02_1	-_-	443	https	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0x0011	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2753024867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0004	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0xc3	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	6	6	6	1	6	0
A	4	0x0400000000004000	1697030412.053112000	1697030412.053112000	0.000000000	1	3	eth:ipv4:tcp	6c:b1:33:99:9f:26	40:06:d5:ed:7d:02	0x0800		134.190.156.145	ca	"Dalhousie University"	58639	20.189.173.23	us	"Microsoft Corporation"	443	6	0x00	1	6c:b1:33:99:9f:26_40:06:d5:ed:7d:02_1	-_-	443	https	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0x0011	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1245500629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0004	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0xc3	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	5	5	5	1	6	0
A	2	0x0400000000004000	1697030411.969118000	1697030412.060690000	0.091572000	1	3	eth:ipv4:tcp	6c:b1:33:99:9f:26	40:06:d5:ed:7d:02	0x0800		134.190.156.145	ca	"Dalhousie University"	58642	20.189.173.23	us	"Microsoft Corporation"	443	6	0x00	1	6c:b1:33:99:9f:26_40:06:d5:ed:7d:02_2	-_-	443	https	2	1	0	0	0	0	0	0	0	0.09157196	0.04578598	0.03237558	21.84074	0	0.3333333	0	0x0213	0	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3745441936	0	0	0	0	0	0	0	65535	45874.5	0	65535	1	0	0	0	0x0006	0x3000	1	7	0x0000011e	1460	64	0x0000	0x00	0	0x00	2484509315	0	0.004	9938037.732031	1687092374.2018327400	0.09153101	0.09153101	0.09153101	0.09153101	0	0.09157201	0	0x43	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	4	4	4	1	6	0
B	2	0x0400000000004001	1697030412.060649000	1697030412.060649000	0.000000000	1	3	eth:ipv4:tcp	40:06:d5:ed:7d:02	6c:b1:33:99:9f:26	0x0800		20.189.173.23	us	"Microsoft Corporation"	443	134.190.156.145	ca	"Dalhousie University"	58642	6	0x00	1	40:06:d5:ed:7d:02_6c:b1:33:99:9f:26_1	-_-	443	https	1	2	0	0	0	0	0	0	0	0	0	0	0	0	-0.3333333	0	0x0211	65535	0	113	113	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3788518144	1	0	0	1	0	0	0	65535	65535	65535	65535	0	0	0	0	0x0212	0x2000	1	6	0x0000001e	1380	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	4.1e-05	4.1e-05	4.1e-05	4.1e-05	0	0.09157201	0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	3	3	3	1	2	0
A	1	0x0400000000004000	1697030411.968638000	1697030412.060980000	0.092342000	1	3	eth:ipv4:tcp	6c:b1:33:99:9f:26	40:06:d5:ed:7d:02	0x0800		134.190.156.145	ca	"Dalhousie University"	58641	20.189.173.23	us	"Microsoft Corporation"	443	6	0x00	1	6c:b1:33:99:9f:26_40:06:d5:ed:7d:02_2	-_-	443	https	2	1	0	0	0	0	0	0	0	0.09234202	0.04617101	0.03264783	21.65862	0	0.3333333	0	0x0213	0	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3116533433	0	0	0	0	0	0	0	65535	45874.5	0	65535	1	0	0	0	0x0006	0x3000	1	7	0x0000011e	1460	64	0x0000	0x00	0	0x00	2270684123	0	0.004	9082736.923407	1687947675.1346952400	0.092328	0.092328	0.092328	0.092328	0	0.092342	0	0x43	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	2	2	1	6	0
B	1	0x0400000000004001	1697030412.060966000	1697030412.060966000	0.000000000	1	3	eth:ipv4:tcp	40:06:d5:ed:7d:02	6c:b1:33:99:9f:26	0x0800		20.189.173.23	us	"Microsoft Corporation"	443	134.190.156.145	ca	"Dalhousie University"	58641	6	0x00	1	40:06:d5:ed:7d:02_6c:b1:33:99:9f:26_1	-_-	443	https	1	2	0	0	0	0	0	0	0	0	0	0	0	0	-0.3333333	0	0x0211	65535	0	112	112	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3802738979	1	0	0	1	0	0	0	65535	65535	65535	65535	0	0	0	0	0x0212	0x2000	1	6	0x0000001e	1380	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	1.4e-05	1.4e-05	1.4e-05	1.4e-05	0	0.092342	0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	2	0
A	6	0x0400000000004000	1697030413.594005000	1697030413.625138000	0.031133000	1	3	eth:ipv4:tcp	6c:b1:33:99:9f:26	40:06:d5:ed:7d:02	0x0800		134.190.156.145	ca	"Dalhousie University"	52908	34.234.143.15	us	"Amazon Technologies Inc"	443	6	0x00	1	6c:b1:33:99:9f:26_40:06:d5:ed:7d:02_4	-_-	443	https	4	3	0	63	0	0	0	0	0	0.030963	0.00778325	0.01100329	128.481	0	0.1428571	-1	0x0013	0	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	139253366	2	0	0	2	0	0	0	2048	1003.52	0	2048	1	0	0	0	0x0115	0x0000	2	6	0x00000102	0	1	0x0000	0x00	0	0x00	2658950425	3499752721	0.004	10635802.205173	1686394611.1236340152	0	0.03082797	0.03082899	0.02055232	0.01069581	0	0	0x53	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	4	1	2	5	1.25	2.5	24	953
B	6	0x0400000000004001	1697030413.593855000	1697030413.624976000	0.031121000	1	3	eth:ipv4:tcp	40:06:d5:ed:7d:02	6c:b1:33:99:9f:26	0x0800		34.234.143.15	us	"Amazon Technologies Inc"	443	134.190.156.145	ca	"Dalhousie University"	52908	6	0x00	1	40:06:d5:ed:7d:02_6c:b1:33:99:9f:26_3	-_-	443	https	3	4	63	0	0	39	21	12.87439	0	0.03112	0.01037367	0.01079669	96.39793	2024.356	-0.1428571	1	0x0013	1	1	50	50	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	429072511	3	63	0	3	0	0	24	501	501	501	501	0	0	0	0	0x0119	0x3000	3	9	0x00000102	0	1	0x0000	0x00	0	0x00	3499752752	2658950425	1	3499752752.000000	18446744071906829277.2205742080	0	0.000134016	0.000292032	0.0001920213	5.29363e-05	0.02074434	0.01069594	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	4	1	4	4	4	3	63
A	38	0x0400000000004000	1697030419.974044000	1697030420.072615000	0.098571000	1	3	eth:ipv4:tcp	6c:b1:33:99:9f:26	40:06:d5:ed:7d:02	0x0800		134.190.156.145	ca	"Dalhousie University"	53025	142.176.208.176	ca	"Stentor National Integrated Co"	443	6	0x00	1	6c:b1:33:99:9f:26_40:06:d5:ed:7d:02_18	-_-	443	https	18	20	2895	1148	0	1259	160.8333	311.3079	0	0.042927	0.005476166	0.01159089	182.6095	29369.69	-0.05263158	0.4321049	0x0a13	0	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3794161165	15	2895	0	15	1124	0	1463	65535	64047.51	0	131328	5	4	6	0	0x011f	0x0000	16	52	0x0000011e	1460	64	0x0000	0x00	0	0x00	1098265975	329361553	0.001	1098266.027165	1695932154.637359264	0.00493696	0.00170304	0.03471296	0.007000839	0.009031828	0.004996992	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	18	1	2	47	2.611111	23.5	6781	8538101
B	38	0x0400000000004001	1697030419.978981000	1697030420.072418000	0.093437000	1	3	eth:ipv4:tcp	40:06:d5:ed:7d:02	6c:b1:33:99:9f:26	0x0800		142.176.208.176	ca	"Stentor National Integrated Co"	443	134.190.156.145	ca	"Dalhousie University"	53025	6	0x00	1	40:06:d5:ed:7d:02_6c:b1:33:99:9f:26_20	-_-	443	https	20	18	1148	2895	0	287	57.4	86.08383	0	0.040966	0.004671851	0.01024783	214.048	12286.35	0.05263158	-0.4321049	0x0213	1	27828	60	60	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1893629858	20	1148	0	20	2895	0	332	65160	64130.1	64128	65160	2	0	0	0	0x031b	0x0000	20	62	0x0000011e	1380	128	0x0000	0x00	0	0x00	329361595	1098265975	0.001	329361.610644	1696701059.3087880264	6.0032e-05	5.2992e-05	0.037932	0.002543658	0.008569999	0.009544497	0.01245065	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	18	1	46	46	46	20	1148
