%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,19,0x0400000000004000,1685894409,1685894409,0.023036,1,3,eth:ipv4:tcp,5c:e9:1e:6a:fd:c6,b8:d9:4d:f1:84:60,0x0800,,192.168.2.168,7,Private network,55151,17.253.3.201,us,MAINT-APNIC-AP,443,6,0x00,1,5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_5,#NAME?,443,https,5,3,24,24,0,24,4.8,7.308078,0,0.019316,0.0046072,0.006106575,217.0516,1041.848,0.25,0,0x0013,0,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3247537617,2,24,0,2,0,0,0,2048,702.464,0,2048,1,0,0,0,0x011d,0x0000,2,6,0x00000102,0,0,0x0000,0x00,0,0x00,2990045132,153658311,1,2990045132,1.84467E+19,0,0.002209,0.0192,0.01353633,0.006539839,0,0,0x57,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,9,1,2,16,1.777778,8,9231,12710063
B,19,0x0400000000004001,1685894409,1685894409,0.00236,1,3,eth:ipv4:tcp,b8:d9:4d:f1:84:60,5c:e9:1e:6a:fd:c6,0x0800,,17.253.3.201,us,MAINT-APNIC-AP,443,192.168.2.168,7,Private network,55151,6,0x00,1,b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_3,"SagemcomB,FR_-",443,https,3,5,24,24,0,24,8,8.326664,0,0.00236,0.000786667,0.000908364,1271.186,10169.49,-0.25,0,0x0013,1,1,59,59,0,0x00,0x4040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,277856725,3,24,0,3,0,0,24,251,251,251,251,0,0,0,0,0x0119,0x3000,3,9,0x00000102,0,0,0x0000,0x00,0,0x00,153712396,2990045132,1,153712396,1532182013,0,5.50E-05,0.000116,4.19E-05,4.04E-05,0.01357827,0.006539964,0x17,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,9,1,15,15,15,3,24
A,20,0x0400000000004000,1685894409,1685894409,0.090803,1,3,eth:ipv4:tcp,5c:e9:1e:6a:fd:c6,b8:d9:4d:f1:84:60,0x0800,,192.168.2.168,7,Private network,55152,23.40.121.120,br,Akamai Technologies,443,6,0x00,1,5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_3,#NAME?,443,https,3,3,24,24,0,24,8,8.326664,0,0.089796,0.03026767,0.03436993,33.03856,264.3084,0,0,0x0013,0,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,834304487,2,24,0,2,0,0,0,2048,1433.6,0,2048,1,0,0,0,0x011d,0x3000,2,6,0x00000102,0,0,0x0000,0x00,0,0x00,3366718759,2961546273,1,3366718759,1.84467E+19,0,0.07671101,0.089686,0.085361,0.004501599,0,0,0x13,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,8,1,2,14,1.75,7,9231,12710063
B,20,0x0400000000004001,1685894409,1685894409,0.012975,1,3,eth:ipv4:tcp,b8:d9:4d:f1:84:60,5c:e9:1e:6a:fd:c6,0x0800,,23.40.121.120,br,Akamai Technologies,443,192.168.2.168,7,Private network,55152,6,0x00,1,b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_3,"SagemcomB,FR_-",443,https,3,3,24,24,0,24,8,8.326664,0,0.012975,0.004325,0.004501603,231.2139,1849.711,0,0,0x0013,1,1,52,52,0,0x00,0x4040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,135359520,3,24,0,3,0,0,24,501,501,501,501,0,0,0,0,0x041c,0x2000,3,9,0x00000102,0,0,0x0000,0x00,0,0x00,2961600373,3366718758,1,2961600373,1.84467E+19,0,0.00011,0.00011,3.67E-05,4.23E-05,0.08539767,0.004501798,0x43,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,8,1,13,13,13,3,24
A,10,0x0400000000004000,1685894408,1685894409,1.34468,1,3,eth:ipv4:tcp,5c:e9:1e:6a:fd:c6,b8:d9:4d:f1:84:60,0x0800,,192.168.2.168,7,Private network,55162,142.250.65.202,us,Google LLC,443,6,0x00,1,5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_2106,#NAME?,443,https,2106,921,2901461,8046,0,1400,1377.712,159.3401,0,0.933979,0.0006385,0.02039306,1566.172,2157734,0.3914767,0.9944692,0x4a33,0,1,64,64,0,0x00,0x4044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1523424972,2079,3578803,2,2105,6973,1,197596,65535,130989.6,65535,131584,15,15,16,0,0x011b,0x004e,2106,6331,0x0000013e,1460,64,0x0000,0x00,0,0x00,4143924258,2533661693,0.001,4143924.455,1681750485,0.02449504,1.40E-05,0.933797,0.007005909,0.04359984,0.02460505,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,12,1,2,22,1.833333,11,21763,30032458
B,10,0x0400000000004001,1685894408,1685894409,1.335811,1,3,eth:ipv4:tcp,b8:d9:4d:f1:84:60,5c:e9:1e:6a:fd:c6,0x0800,,142.250.65.202,us,Google LLC,443,192.168.2.168,7,Private network,55162,6,0x00,1,b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_921,"SagemcomB,FR_-",443,https,921,2106,8046,2901461,0,1400,8.736156,87.8915,0,0.933844,0.001450391,0.03077419,689.4688,6023.307,-0.3914767,-0.9944692,0x4a37,1,8758,123,123,0,0xc0,0x4044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1535363752,916,9010,1,921,2567750,45,4696,65535,2745542,65535,2745856,220,610,221,0,0x031b,0x02cc,921,3623,0x0000013e,1412,256,0x0000,0x00,0,0x00,2533661709,4143924253,0.001,2533661.829,1683360748,0.000110016,1.40E-05,0.005229,0.000397373,0.000426803,0.007403282,0.04360193,0x08,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,12,1,21,21,21,921,8046
A,24,0x0400000000004000,1685894414,1685894416,1.250901,1,3,eth:ipv4:tcp,5c:e9:1e:6a:fd:c6,b8:d9:4d:f1:84:60,0x0800,,192.168.2.168,7,Private network,55165,142.251.40.234,us,Google LLC,443,6,0x00,1,5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_1958,#NAME?,443,https,1958,894,2698042,6909,0,1400,1377.958,155.891,0,0.858622,0.000638867,0.01944935,1565.272,2156879,0.3730715,0.9948916,0x0a33,0,1,64,64,0,0x00,0x4044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3042293758,1938,3714919,1,1957,6909,0,178474,65535,130996.5,65535,131584,13,15,14,0,0x011b,0x0044,1958,5878,0x0000011e,1460,64,0x0000,0x00,0,0x00,4179288156,3941374676,0.1,417928821.8,1267965594,0.02729002,8.96E-06,0.8584501,0.006554276,0.04061464,0.02746602,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,16,1,2,30,1.875,15,29445,40606875
B,24,0x0400000000004001,1685894414,1685894416,1.223338,1,3,eth:ipv4:tcp,b8:d9:4d:f1:84:60,5c:e9:1e:6a:fd:c6,0x0800,,142.251.40.234,us,Google LLC,443,192.168.2.168,7,Private network,55165,6,0x00,1,b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_894,"SagemcomB,FR_-",443,https,894,1958,6909,2698042,0,1400,7.728188,82.26895,0,0.845638,0.001368387,0.02829894,730.7874,5647.662,-0.3730715,-0.9948916,0x4a33,1,18288,123,123,0,0xc0,0x4044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1161780463,894,6909,0,894,2407932,44,4697,65535,2739618,65535,2740992,196,604,197,0,0x031b,0x0008,894,3449,0x0000013e,1412,256,0x0000,0x00,0,0x00,3941374676,4179288130,0.1,394137473.5,1291756942,0.000176,1.09E-05,0.004755008,0.000323151,0.000249447,0.006877427,0.0406154,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,16,1,29,29,29,894,6909
A,26,0x0400000000004000,1685894418,1685894419,1.131521,1,3,eth:ipv4:tcp,5c:e9:1e:6a:fd:c6,b8:d9:4d:f1:84:60,0x0800,,192.168.2.168,7,Private network,55167,142.251.41.10,us,Google LLC,443,6,0x00,1,5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_2240,#NAME?,443,https,2240,1022,3086676,6983,0,1400,1377.98,155.3405,0,0.713049,0.000505143,0.01512702,1979.636,2727900,0.3733906,0.9954856,0x4a33,0,1,64,64,0,0x00,0x4044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2713535273,2217,3784444,1,2239,6983,0,170800,65535,130954.6,65535,131584,18,16,19,0,0x011b,0x0044,2240,6727,0x0000013e,1460,64,0x0000,0x00,0,0x00,2562456696,3599334333,0.1,256245673.4,1429648746,0.025758,1.30E-05,0.71289,0.005839212,0.02262335,0.025872,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,16,1,2,32,2,16,33945,46809660
B,26,0x0400000000004001,1685894418,1685894419,1.105519,1,3,eth:ipv4:tcp,b8:d9:4d:f1:84:60,5c:e9:1e:6a:fd:c6,0x0800,,142.251.41.10,us,Google LLC,443,192.168.2.168,7,Private network,55167,6,0x00,1,b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_1022,"SagemcomB,FR_-",443,https,1022,2240,6983,3086676,0,1400,6.832681,77.01476,0,0.697912,0.001081721,0.02187201,924.4526,6316.49,-0.3733906,-0.9954856,0x4a13,1,20570,123,123,0,0xc0,0x4044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1036487594,1019,8025,0,1022,2793663,41,3298,65535,3346426,65535,3347968,220,700,221,0,0x031b,0x0248,1022,3821,0x0000013e,1412,256,0x0000,0x00,0,0x00,3599334333,2562456671,0.1,359933438.7,1325960981,0.000114,8.00E-06,0.002874,0.000365631,0.000296173,0.006204843,0.02262529,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,16,1,31,31,31,1022,6983
