%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	ethVlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF
A	38	0x0400000000004001	1690554136.249294	1690554136.249294	0.000000	1	3	eth:ipv4:tcp	40:06:d5:ed:7d:02	5c:e9:1e:6a:fd:c6	0x0800		13.89.178.27	us	"Microsoft Corporation"	443	134.190.181.17	ca	"Dalhousie University"	49327	6	0x00	1	40:06:d5:ed:7d:02_5c:e9:1e:6a:fd:c6_1	-_-	443	https	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0x0011	65535	0	109	109	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3968218965	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0x0414	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0xc3	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	17	1	26	26
A	39	0x0400000000004001	1690554136.494212	1690554136.494212	0.000000	1	3	eth:ipv4:tcp	40:06:d5:ed:7d:02	5c:e9:1e:6a:fd:c6	0x0800		13.89.178.27	us	"Microsoft Corporation"	443	134.190.181.17	ca	"Dalhousie University"	49306	6	0x00	1	40:06:d5:ed:7d:02_5c:e9:1e:6a:fd:c6_1	-_-	443	https	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0x0011	65535	0	109	109	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1262449043	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0x0414	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0xc3	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	17	1	26	26
A	44	0x0400000000004001	1690554140.722951	1690554140.722951	0.000000	1	3	eth:ipv4:tcp	40:06:d5:ed:7d:02	5c:e9:1e:6a:fd:c6	0x0800		13.89.178.27	us	"Microsoft Corporation"	443	134.190.181.17	ca	"Dalhousie University"	49342	6	0x00	1	40:06:d5:ed:7d:02_5c:e9:1e:6a:fd:c6_1	-_-	443	https	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0x0011	65535	0	108	108	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1658627566	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0x0414	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0xc3	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	19	2	30	30
A	45	0x0400000000004001	1690554140.742474	1690554140.742474	0.000000	1	3	eth:ipv4:tcp	40:06:d5:ed:7d:02	5c:e9:1e:6a:fd:c6	0x0800		13.89.178.27	us	"Microsoft Corporation"	443	134.190.181.17	ca	"Dalhousie University"	49337	6	0x00	1	40:06:d5:ed:7d:02_5c:e9:1e:6a:fd:c6_1	-_-	443	https	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0x0011	65535	0	108	108	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3978484882	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0x0414	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0xc3	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	19	1	29	29
A	46	0x0400000000004001	1690554141.755307	1690554141.755307	0.000000	1	3	eth:ipv4:tcp	40:06:d5:ed:7d:02	5c:e9:1e:6a:fd:c6	0x0800		13.89.178.27	us	"Microsoft Corporation"	443	134.190.181.17	ca	"Dalhousie University"	49322	6	0x00	1	40:06:d5:ed:7d:02_5c:e9:1e:6a:fd:c6_1	-_-	443	https	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0x0011	65535	0	108	108	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	812442355	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0x0414	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0xc3	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	19	1	29	29
A	47	0x0400000000004001	1690554143.684236	1690554143.684236	0.000000	1	3	eth:ipv4:tcp	40:06:d5:ed:7d:02	5c:e9:1e:6a:fd:c6	0x0800		13.89.178.27	us	"Microsoft Corporation"	443	134.190.181.17	ca	"Dalhousie University"	49345	6	0x00	1	40:06:d5:ed:7d:02_5c:e9:1e:6a:fd:c6_1	-_-	443	https	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0x0011	65535	0	109	109	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1926644999	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0x0414	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0xc3	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	19	1	29	29
A	48	0x0400000000004001	1690554146.768058	1690554146.768058	0.000000	1	3	eth:ipv4:tcp	40:06:d5:ed:7d:02	5c:e9:1e:6a:fd:c6	0x0800		20.135.6.5	us	"Microsoft Corporation"	443	134.190.181.17	ca	"Dalhousie University"	49362	6	0x00	1	40:06:d5:ed:7d:02_5c:e9:1e:6a:fd:c6_1	-_-	443	https	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0x0011	65535	0	105	105	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2263009801	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0x0414	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0xc3	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	19	1	29	29
A	49	0x0400000000004001	1690554148.002948	1690554148.002948	0.000000	1	3	eth:ipv4:tcp	40:06:d5:ed:7d:02	5c:e9:1e:6a:fd:c6	0x0800		20.190.151.133	us	"Microsoft Corporation"	443	134.190.181.17	ca	"Dalhousie University"	49357	6	0x00	1	40:06:d5:ed:7d:02_5c:e9:1e:6a:fd:c6_1	-_-	443	https	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0x0011	65535	0	109	109	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1137597267	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0x0414	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0xc3	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	19	1	29	29
A	50	0x0400000000004001	1690554148.926985	1690554148.926985	0.000000	1	3	eth:ipv4:tcp	40:06:d5:ed:7d:02	5c:e9:1e:6a:fd:c6	0x0800		13.89.178.27	us	"Microsoft Corporation"	443	134.190.181.17	ca	"Dalhousie University"	49355	6	0x00	1	40:06:d5:ed:7d:02_5c:e9:1e:6a:fd:c6_1	-_-	443	https	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0x0011	65535	0	109	109	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2095481268	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0x0414	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0xc3	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	19	1	29	29
A	51	0x0400000000004001	1690554150.049983	1690554150.049983	0.000000	1	3	eth:ipv4:tcp	40:06:d5:ed:7d:02	5c:e9:1e:6a:fd:c6	0x0800		13.89.178.27	us	"Microsoft Corporation"	443	134.190.181.17	ca	"Dalhousie University"	49363	6	0x00	1	40:06:d5:ed:7d:02_5c:e9:1e:6a:fd:c6_1	-_-	443	https	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0x0011	65535	0	108	108	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3382282115	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0x0414	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0xc3	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	19	1	29	29
