"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN"
5,288230376151728128,0.017487,3,2048,62940,443,6,443,3,3,31,0,0,31,10.33333,10.75527,0.01635,0.005829,0.006083163,171.556,1772.745,0,1,19,0,0,64,64,0,0,64,1773579157,2,31,3,0,0,0,65,65,65,65,0,0,0,281,12288,3,9,258,0,0,561012914,44997879,1,561012914,1128067780,0,0.000643008,0.01616506,0.0109907,0.005974242,0,0,1,0,0,0,4,1,2,6,1.5,3,54,5376,"0"
5,288230376151728128,0.000829,3,2048,443,62940,6,443,3,3,0,31,0,0,0,0,0.000828,0.000276333,0.000318505,3618.818,0,0,-1,19,1,1,54,54,0,0,64,2508187777,3,0,3,0,0,0,501,501,501,501,0,0,0,273,8192,3,9,258,0,0,44997880,561012898,1,44997880,1644082814,0,0.00018496,0.00018496,6.17e-05,7.12e-05,0.01105235,0.005974666,1,0,0,0,1,4,1,5,5,5,3,0,"0"
6,288230376151728128,0.00011,3,2048,62933,443,6,443,3,3,0,31,0,0,0,0,8.3e-05,3.67e-05,2.46e-05,27272.73,0,0,-1,17,0,0,64,64,0,0,64,829705485,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,83,0,0,0,4,1,2,6,1.5,3,64,6043,"0"
6,288230376151728128,3e-06,3,2048,443,62933,6,443,3,3,31,0,0,31,10.33333,10.75527,2e-06,1e-06,5.77e-07,999999.9,10300000,0,1,19,1,1,54,54,0,0,64,2530182104,2,31,3,0,0,0,501,501,501,501,0,0,0,281,12288,3,9,258,0,0,206163192,2392018426,0.001,206163.2018,1688874543,0,0.000201024,0.000201024,0.000201024,0,0.000201024,0,3,0,0,0,1,4,1,5,5,5,3,31,"0"
7,288230376151728128,0.032663,3,2048,62945,443,6,443,3,2,24,24,0,24,8,8.326664,0.031685,0.01088767,0.01201066,91.84705,734.7764,0.2,0,19,0,0,64,64,0,0,64,2505742050,2,24,2,0,0,0,65,45.5,0,65,1,0,0,285,12288,2,6,258,0,0,1820575236,153956212,1,1820575236,1.84467e+19,0,0.03154599,0.03154701,0.0315465,3.61e-07,0,0,19,0,0,0,4,1,8,12,3,1.5,84,7088,"0"
7,288230376151728128,1e-06,3,2048,443,62945,6,443,2,3,24,24,0,24,12,8.485281,1e-06,5e-07,3.54e-07,2e+06,2.4e+07,-0.2,0,19,1,1,50,50,0,0,64,3155673289,2,24,2,0,0,24,504,504,504,504,0,0,0,1052,8192,2,6,258,0,0,153983243,1820575236,0.01,1539832.396,1687540876,0,0.000137984,0.000137984,4.6e-05,5.31e-05,0.03159249,5.31e-05,67,0,0,0,1,4,7,11,11,1.571429,11,96,"0"
9,288230376151728128,0.022875,3,2048,443,62942,6,443,3,3,24,24,0,24,8,8.326664,0.022875,0.007625,0.007936351,131.1475,1049.18,0,0,19,1,1,51,51,0,0,16448,3349408915,3,24,3,0,0,24,504,504,504,504,0,0,0,1052,8192,3,9,258,0,0,153983264,57699592,1,153983264,1535097444,0,9.5e-05,9.5e-05,3.17e-05,3.66e-05,0.04589869,0.007936439,67,0,0,0,1,4,5,9,9,1.8,11,96,"0"
10,288230376151728128,0.0545,3,2048,62941,443,6,443,3,3,24,24,0,24,8,8.326664,0.053655,0.01816667,0.02049065,55.04587,440.367,0,0,19,0,0,64,64,0,0,64,2764565568,2,24,2,0,0,0,61,42.7,0,61,1,0,0,285,12288,2,6,258,0,0,2493032065,153941252,1,2493032065,1.84467e+19,0,0.03062304,0.05349805,0.0458727,0.007936218,0,0,19,0,0,0,4,1,4,8,2,2,84,7088,"0"
10,288230376151728128,0.022875,3,2048,443,62941,6,443,3,3,24,24,0,24,8,8.326664,0.022874,0.007625,0.007935791,131.1475,1049.18,0,0,19,1,1,50,50,0,0,64,3020867128,3,24,3,0,0,24,504,504,504,504,0,0,0,1052,8192,3,9,258,0,0,153983264,2493032065,1,153983264,1535097444,0,0.000156992,0.000156992,5.23e-05,6.04e-05,0.04592503,0.007936448,67,0,0,0,1,4,3,7,7,2.333333,11,96,"0"
8,288230376151728128,0.061548,3,2048,62943,443,6,443,3,3,24,24,0,24,8,8.326664,0.060581,0.020516,0.02313322,48.74245,389.9396,0,0,19,0,0,64,64,0,0,64,2595700620,2,24,2,0,0,0,57,39.9,0,57,1,0,0,285,12288,2,6,258,0,0,3771897571,153941307,1,3771897571,1.84467e+19,0,0.03061696,0.06051097,0.05054596,0.01037142,0,0,19,0,0,0,4,1,2,6,1.5,3,84,7088,"0"
