"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN"
8,288230376151728128,0.026816,3,2048,443,57368,6,443,7,6,77,77,0,46,11,15.15842,0.015134,0.003830857,0.004644745,261.0382,2871.42,0.07692308,0,19,0,1,53,53,0,0,68,3103385927,4,77,5,77,0,0,501,245.49,0,501,1,0,0,1309,130,5,15,258,0,0,155478289,2978582574,0.1,15547829.13,1673187020,0,9.2e-05,0.00232,0.000898485,0.00068973,0.004819484,0.005249129,83,0,0,0,1,4,1,5,5,5,7,77,"0"
23,288230376151728128,2.280036,3,2048,57375,443,6,443,15,12,1352,3844,0,517,90.13333,148.8109,1.807327,0.1520024,0.4266402,6.578844,592.9731,0.1111111,-0.4795997,2579,0,0,64,64,0,0,64,1128579580,14,1352,14,3844,0,811,65535,6136.726,2880,65535,1,2,1,283,0,15,49,286,1460,64,623771558,4276396331,0.1,62377156.73,1626357797,0.09447398,0.000120992,0.09447398,0.06128033,0.03691146,0.09455699,0,0,0,0,0,5,1,2,6,1.2,3,430,47423,"0"
7,288230376151728128,115.537455,3,2048,57374,443,6,443,17,19,1034,4777,0,517,60.82353,112.5083,115.3772,6.796321,26.08338,0.1471384,8.949479,-0.05555556,-0.6441232,531,0,0,64,64,0,0,64,2867408139,16,1034,16,4777,1,517,65535,3088.221,2880,65535,1,0,0,283,8,17,55,286,1460,64,3666186442,2524692055,0.001,3666186.616,1685068778,0.02617306,0.001011,115.377,13.63969,35.99895,0.02630605,0,2,0,0,0,4,1,2,4,1,2,443,48394,"0"
7,288230376151728128,115.537894,3,2048,443,57374,6,443,19,17,4777,1034,0,1440,251.4211,414.7634,115.377,6.080943,24.88955,0.1644482,41.34574,0.05555556,0.6441232,1555,0,21814,56,56,0,0,16452,2622307495,16,4777,17,1010,0,2880,64980,31611.64,0,64980,2,0,0,799,0,17,53,286,1452,256,2524692114,3666071063,0.001,2524692.234,1686210272,0.000132992,5e-05,0.015921,0.002944232,0.005112088,13.64263,35.99895,82,0,0,0,1,4,1,3,3,3,19,4777,"0"
4,288230376151728128,0,3,2048,59526,53,17,53,1,1,49,198,49,49,49,0,0,0,0,0,0,0,-0.6032389,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.008171008,0.008171008,0.008171008,0.008171008,0,0.008171008,0,0,0,0,0,5,1,14,14,2.8,1,668,74028,"0"
4,288230376151728128,0,3,2048,53,59526,17,53,1,1,198,49,198,198,198,0,0,0,0,0,0,0,0.6032389,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.008171008,0,0,0,0,0,1,5,13,13,13,1,7,848,"0"
5,288230376151728128,0,3,2048,50908,53,17,53,1,1,49,176,49,49,49,0,0,0,0,0,0,0,-0.5644444,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.009408,0.009408,0.009408,0.009408,0,0.009408,0,0,0,0,0,5,1,12,12,2.4,1,668,74028,"0"
5,288230376151728128,0,3,2048,53,50908,17,53,1,1,176,49,176,176,176,0,0,0,0,0,0,0,0.5644444,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.009408,0,0,0,0,0,1,5,11,11,11,1,7,848,"0"
6,288230376151728128,0,3,2048,53,53941,17,53,1,1,98,38,98,98,98,0,0,0,0,0,0,0,0.4411765,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.004537984,0,0,0,0,0,1,5,9,9,9,1,7,848,"0"
26,288230376151728128,0.335774,3,2048,443,57376,6,443,15,14,5751,900,0,1440,383.4,473.4028,0.259453,0.02238493,0.06174636,44.6729,17127.59,0.03448276,0.729364,16915,1,52777,59,59,0,0,16448,2662767313,15,5751,15,900,0,4856,64980,64302.2,64256,64980,2,0,0,795,0,15,50,318,1452,256,3423534145,3654478795,0.001,3423534.308,1685311495,0.000163968,6.8e-05,0.236796,0.02031286,0.06011136,0.04143419,0.06011437,0,0,0,0,1,6,1,5,5,5,15,5751,"0"
10,288230376151728128,0.922862,3,2048,5353,5353,17,5353,8,0,224,0,28,28,28,0,0.920366,0.1153578,0.2728815,8.668685,242.7232,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,3,1,1,1,0.3333333,1,12,444,"0"
11,576460752303456256,1.024017,3,34525,5353,5353,17,5353,8,0,224,0,28,28,28,0,0.920069,0.1280021,0.2699012,7.81237,218.7464,1,1,1,65535,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,8,224,"0"
12,288230376151728128,1.433546,3,2048,137,137,17,137,3,0,150,0,50,50,50,0,0.716812,0.4778487,0.2486835,2.092713,104.6356,1,1,1,1,1,128,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,2,2,1,1,0.5,1,12,444,"0"
