"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN"
286,288230376151728128,0,3,2048,52130,22,6,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65535,0,254,254,0,0,0,669648001,0,0,0,0,0,0,64240,64240,64240,64240,0,0,0,2,12288,1,1,4,1380,1,0,0,0,0,0,0.000190016,0.000190016,0.000190016,0.000190016,0,0.000190016,0,3,0,0,0,1,1,2,2,2,1,13,0,"0"
13,288230376151728128,3539.976114,3,2048,0,0,2,0,45,0,0,0,0,0,0,0,120.0138,78.66615,28.64389,0.01271195,0,1,0,1,2337,6936,1,1,0,192,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,45,0,"0"
304,288230376151728128,0,3,2048,53,55923,17,53,1,1,182,61,182,182,182,0,0,0,0,0,0,0,0.4979424,1,65535,0,63,63,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.033728,0,0,0,0,0,1,5,5,5,5,1,32,3236,"0"
603,288230376151728128,0,3,2048,50280,587,6,587,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65535,0,254,254,0,0,0,1754621749,0,0,0,0,0,0,65392,65392,65392,65392,0,0,0,2,12288,1,1,4,1380,1,0,0,0,0,0,0.000243008,0.000243008,0.000243008,0.000243008,0,0.000243008,0,3,0,0,0,1,2,2,2,2,1,1,0,"0"
32,288230376151728128,0,3,2048,53,55828,17,53,1,1,44,44,44,44,44,0,0,0,0,0,0,0,0,1,65535,0,63,63,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.01751398,0,0,0,0,0,1,5,9,9,9,1,8,868,"0"
209,288230376151728128,0,3,2048,42431,22,6,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65535,0,254,254,0,0,0,2999320713,0,0,0,0,0,0,28400,28400,28400,28400,0,0,0,2,12288,1,1,4,1380,1,0,0,0,0,0,5.9e-05,5.9e-05,5.9e-05,5.9e-05,0,5.9e-05,0,3,0,0,0,1,1,2,2,2,1,118,0,"0"
192,288230376151728128,0,3,2048,64543,53,17,53,1,1,40,40,40,40,40,0,0,0,0,0,0,0,0,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.021529,0.021529,0.021529,0.021529,0,0.021529,0,0,0,0,0,4,1,18,18,4.5,1,10567,1172972,"0"
258,288230376151728128,0,3,2048,41086,4433,6,4433,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65535,0,254,254,0,0,0,450939429,0,0,0,0,0,0,64240,64240,64240,64240,0,0,0,2,12288,1,1,4,1380,1,0,0,0,0,0,0.000203008,0.000203008,0.000203008,0.000203008,0,0.000203008,0,3,0,0,0,1,2,2,2,2,1,9,0,"0"
153,288230376151728128,31.158539,3,2048,61478,443,6,443,48,49,9675,23548,0,1202,201.5625,354.1349,30.02786,0.6491362,4.235986,1.540509,310.5088,-0.01030928,-0.4175722,2611,0,0,64,64,0,0,64,1702941341,45,9675,47,23548,0,5984,65535,131011.1,65535,131328,14,13,15,283,64,48,148,286,1460,64,2132440278,508090088,0.01,21324402.3,1667681962,0.01842202,0.000536,30.02769,1.855267,7.115915,0.01856999,0,2,0,0,0,5,1,2,4,0.8,2,5632,630363,"0"
149,288230376151728128,0.09406,3,2048,62980,853,6,853,10,10,605,8074,0,517,60.5,128.3831,0.021258,0.009405999,0.007824983,106.3151,6432.065,0,-0.860583,2611,0,0,64,64,0,0,64,2630100538,7,581,7,7572,0,517,65535,61303.4,0,131328,3,3,4,287,0,8,28,286,1460,64,116540180,4238491537,1,116540180,1572542479,0.01914198,0.017184,0.02113699,0.0196158,0.001585038,0.01929299,0,82,0,0,0,9,1,2,2,0.2222222,1,7256,811192,"0"
