"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN"
296,288230376151728128,120.147166,3,2048,57453,443,6,443,14,19,1082,7187,0,517,77.28571,143.5505,120.0593,8.581941,29.48385,0.1165238,9.005623,-0.1515152,-0.7382997,2579,0,0,64,64,0,0,64,2454844494,13,1082,13,7187,0,517,65535,128165.3,65535,132480,3,4,4,283,0,14,46,286,1460,64,687681469,366526284,0.004,2750726.007,1685987247,0.002594016,0.000204992,120.0592,13.35241,36.56288,0.002742016,0,2,0,0,0,6,1,2,6,1,3,12019,1360802,"0"
44,288230376151728128,0,3,2048,53,63084,17,53,1,1,182,61,182,182,182,0,0,0,0,0,0,0,0.4979424,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.006247008,0,0,0,0,0,1,8,11,11,11,1,24,5380,"0"
26,288230376151728128,0,3,2048,53,61779,17,53,1,1,23,23,23,23,23,0,0,0,0,0,0,0,0,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.006588,0,0,0,0,0,2,4,13,13,6.5,1,17,2091,"0"
248,288230376151728128,0.459623,3,2048,57623,443,6,443,19,17,1483,11639,0,886,78.05264,203.9355,0.261164,0.02419068,0.05832625,41.33823,3226.557,0.05555556,-0.7739674,2611,0,0,64,64,0,0,64,1437835675,15,1483,16,11615,1,966,65535,63907.14,0,132480,6,5,7,287,8,17,55,286,1460,64,3547472988,3393345026,1,3547472988,1.84467e+19,0.02069299,3.5e-05,0.103178,0.02336906,0.02918712,0.02086201,0,82,0,0,0,8,1,2,12,1.5,6,13083,1477842,"0"
14,288230376151728128,1499.161766,3,2048,443,57648,6,443,13,13,120,164,0,24,9.230769,10.3773,300.1168,115.3201,132.3155,0.008671513,0.08004473,0,-0.1549296,19,0,1,123,123,0,96,68,3979149471,11,120,11,140,0,24,272,133.28,0,272,1,0,0,285,0,11,33,258,0,1,748605830,858722892,0.001,748605.8656,1688005861,0,0.000129024,0.00056,0.00036916,0.000144805,124.939,133.6438,83,0,0,0,1,4,1,3,3,3,13,120,"0"
159,288230376151728128,30.114491,3,2048,57599,443,6,443,13,10,1895,6850,0,625,145.7692,220.7177,29.59997,2.316499,7.541008,0.4316859,62.92652,0.1304348,-0.5666095,2611,0,0,64,64,0,0,64,3039378699,12,1895,12,6850,0,625,65535,259263.8,65535,262144,4,5,5,283,0,1,7,286,1460,64,340517128,0,0.004,1362068.577,1687385546,0.08190496,0.08190496,0.08462496,0.08357111,0.000963809,0.08199898,0,0,0,0,0,7,1,8,16,2.285714,2,7702,864386,"0"
208,288230376151728128,0,3,2048,0,0,1,0,1,0,28,0,28,28,28,0,0,0,0,0,0,-1,1,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,1,1,208,1,6,2,1,1,0.5,69,9153,"0"
144,288230376151728128,30.489647,3,2048,443,57409,6,443,20,24,7912,2911,0,1440,395.6,514.9514,29.8142,1.524482,6.317192,0.6559604,259.4979,-0.09090909,0.4620715,2579,1,1,110,110,0,0,64,1339493030,20,7912,20,2911,0,3121,8192,262441.5,8192,263424,4,2,5,795,0,20,62,286,1440,256,1130883822,3750123067,0.01,11308837.97,1677427580,9.6e-05,4.6e-05,29.7166,1.2436,5.806547,1.322813,5.806659,0,0,0,0,1,9,1,9,9,9,20,7912,"0"
159,288230376151728128,0,3,2048,61155,53,17,53,1,1,61,182,61,61,61,0,0,0,0,0,0,0,-0.4979424,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.008253008,0.008253008,0.008253008,0.008253008,0,0.008253008,0,0,0,0,0,4,1,14,14,3.5,1,8209,922950,"0"
54,288230376151728128,0.039675,3,2048,62645,7000,6,7000,6,7,41,1708,0,41,6.833333,12.68929,0.025666,0.0066125,0.007628725,151.2287,1033.396,-0.07692308,-0.9531161,2579,0,0,64,64,0,0,64,2394423285,5,41,5,1708,0,41,65535,120018.6,65535,131712,1,2,2,283,0,6,22,286,1460,64,989140134,2568536468,0.1,98914014.87,1589857471,0.000528,8.1e-05,0.02203597,0.006421275,0.008700606,0.007794048,0,0,0,0,0,2,1,4,4,2,1,42,1501,"0"
