"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","ipOptCnt","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isLab"
139,576460752303456256,7.006623,3,34525,5353,5353,17,5353,4,0,688,0,172,172,172,0,4.001418,1.751656,1.256412,0.5708885,98.19281,1,1,1,65535,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,28,688,"1"
12,288230376151728128,0,3,2048,62656,48190,6,48190,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,65535,0,254,254,0,0,0,0,2184518053,0,0,0,0,0,0,65320,65320,65320,65320,0,0,0,2,4096,1,1,4,1380,0,0,0,0,0,0,0,65535,0,0,0,0,0,3,0,0,0,1,1,1,1,1,1,2,0,"1"
126,288230376151728128,0,3,2048,50442,5800,6,5800,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,65535,0,254,254,0,0,0,0,1134180576,0,0,0,0,0,0,64240,64240,64240,64240,0,0,0,2,4096,1,1,4,1380,0,0,0,0,0,0,0,65535,0,0,0,0,0,3,0,0,0,1,2,2,2,2,1,18,0,"1"
79,288230376151728128,0,3,2048,43844,6588,6,6588,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,65535,0,254,254,0,0,0,0,2157192326,0,0,0,0,0,0,64240,64240,64240,64240,0,0,0,2,4096,1,1,4,1380,0,0,0,0,0,0,0,65535,0,0,0,0,0,3,0,0,0,1,2,25,25,25,1,32,0,"1"
48,288230376151728128,7.057617,3,2048,49380,7000,6,7000,7,0,0,0,0,0,0,0,2.060852,1.008231,0.480189,0.9918362,0,1,0,19,0,0,63,63,0,96,64,0,2457578126,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,2,1,7,49,286,1386,0,262201350,0,0.01,2622013.441,1687852278,0,65535,0,0,0,0,0,3,0,0,0,1,12,2,2,2,1,14,0,"1"
46,288230376151728128,0,3,2048,443,49322,6,443,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,17,65535,0,108,108,0,0,64,0,812442355,1,0,1,0,0,0,0,0,0,0,0,0,0,1044,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,195,0,0,0,1,19,1,29,29,29,5,0,"1"
47,288230376151728128,7.065208,3,2048,42390,7001,6,7001,4,0,0,0,0,0,0,0,4.130793,1.766302,1.311518,0.5661546,0,1,0,19,1,1,50,50,0,0,64,0,1030385894,0,0,0,0,0,0,64240,64240,64240,64240,0,0,0,2,1,4,20,286,1380,128,1694676477,0,0.01,16946764.39,1673727361,0,65535,0,0,0,0,0,3,0,0,0,1,2,2,2,2,1,18,688,"1"
80,288230376151728128,7.007175,3,2048,53935,7000,6,7000,7,0,0,0,0,0,0,0,1.999756,1.001025,0.4621737,0.9989761,0,1,0,19,0,0,63,63,0,96,64,0,3328926754,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,2,1,7,49,286,1386,0,3843724970,0,0.004,15374900.61,1675099451,0,65535,0,0,0,0,0,3,0,0,0,1,11,1,1,1,1,14,0,"1"
21,288230376151728128,0,3,2048,443,49198,6,443,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,17,65535,0,108,108,0,0,64,0,366662871,1,0,1,0,0,0,0,0,0,0,0,0,0,1044,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,195,0,0,0,1,9,1,15,15,15,1,0,"1"
110,288230376151728128,0.692379,3,2048,443,49222,6,443,5,0,117,0,0,39,23.4,15.31574,0.385985,0.1384758,0.1451749,7.221478,168.9826,-1,1,19,1,1,57,57,0,0,64,0,460157607,2,39,5,0,0,0,8,8,8,8,0,0,0,281,0,5,15,258,0,0,3459162176,1024910643,0.001,3459162.34,1687015317,0,65535,0,0,0,0,0,3,0,0,0,1,8,1,11,11,11,5,117,"1"
