%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	3	0x0400000000004000	1688752822.266202000	1688752822.268057000	0.001855000	1	3	eth:ipv4:tcp	5c:e9:1e:6a:fd:c6	b8:d9:4d:f1:84:60	0x0800		192.168.2.168	07	"Private network"	57676	142.176.208.194	ca	"Stentor National Integrated Co"	443	6	0x00	1	5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_4	-_SagemcomB,FR	443	https	4	4	24	24	0	24	6	8.544003	0	0.000935	0.00046375	0.0003437954	2156.334	12938	0	0	0x0013	0	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	4285495264	4	24	0	4	0	0	24	2047	2047	2047	2047	0	0	0	0	0x0119	0x0000	4	12	0x00000102	0	0	0x0000	0x00	0	0x00	2312717594	381375182	1	2312717594.000000	18446744073085586844.1769027648	0	0.003302016	0.003302016	0.001100672	0.001270947	0	0	0x07	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	2	4	2	2	63	6204
B	3	0x0400000000004001	1688752822.266035000	1688752822.271360000	0.005325000	1	3	eth:ipv4:tcp	b8:d9:4d:f1:84:60	5c:e9:1e:6a:fd:c6	0x0800		142.176.208.194	ca	"Stentor National Integrated Co"	443	192.168.2.168	07	"Private network"	57676	6	0x00	1	b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_4	SagemcomB,FR_-	443	https	4	4	24	24	0	24	6	7.81025	0	0.005322	0.00133125	0.001894277	751.1738	4507.042	0	0	0x0013	0	1	61	61	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	531894331	2	24	0	2	0	0	0	502	245.98	0	502	1	0	0	0	0x011d	0x0000	2	6	0x00000102	0	0	0x0000	0x00	0	0x00	381375182	2312597588	0.01	3813751.734756	1684939071.3309238944	0	0.000165008	0.00202	0.000887756	0.0006355278	0.001988428	0.001420986	0x57	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	1	3	3	3	4	24
A	5	0x0400000000004000	1688752899.212130000	1688752899.212130000	0.000000000	1	3	eth:ipv4:udp	d8:5e:d3:86:28:56	ff:ff:ff:ff:ff:ff	0x0800		192.168.2.22	07	"Private network"	138	192.168.2.255	07	"Private network"	138	17	0x00	1	d8:5e:d3:86:28:56_ff:ff:ff:ff:ff:ff_1	GigaByteT,TW_Broadcast	138	netbios-dgm	1	0	201	0	201	201	201	0	0	0	0	0	0	0	1	1	0x0001	65535	0	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	1	1	0.5	1	2	278
A	13	0x0400000000004000	1688753003.680768000	1688753123.884673000	120.203905000	1	3	eth:ipv4:tcp	5c:e9:1e:6a:fd:c6	b8:d9:4d:f1:84:60	0x0800		192.168.2.168	07	"Private network"	57682	142.176.208.195	ca	"Stentor National Integrated Co"	443	6	0x00	1	5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_17	-_SagemcomB,FR	443	https	17	20	1084	7222	0	517	63.76471	133.6001	0	120.0845	7.070818	27.14824	0.1414264	9.01801	-0.08108108	-0.7389839	0x0a13	0	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1761434605	16	1084	0	16	7222	1	517	65535	128455.7	65535	132480	5	4	6	0	0x011b	0x0008	17	55	0x0000011e	1460	64	0x0000	0x00	0	0x00	1444803437	4068595989	0.004	5779214.022498	1682973909.4182207320	0.003884992	2.304e-05	120.0843	13.40181	36.61854	0.004052992	0	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	4	1	2	6	1.5	3	1041	119739
B	13	0x0400000000004001	1688753003.684653000	1688753123.888436000	120.203783000	1	3	eth:ipv4:tcp	b8:d9:4d:f1:84:60	5c:e9:1e:6a:fd:c6	0x0800		142.176.208.195	ca	"Stentor National Integrated Co"	443	192.168.2.168	07	"Private network"	57682	6	0x00	1	b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_20	SagemcomB,FR_-	443	https	20	17	7222	1084	0	1440	361.1	484.187	0	120.0844	6.010189	25.34079	0.1663841	60.08131	0.08108108	0.7389839	0x0213	0	7889	61	61	0	0x00	0x4044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2333787358	17	7222	0	18	1060	0	3872	65160	31553.92	0	65160	3	0	0	0	0x031f	0x0000	18	56	0x0000011e	1452	128	0x0000	0x00	0	0x00	4068596001	1444683352	0.004	16274384.776992	1672478739.1297713320	0.000168	3.7952e-05	0.01026202	0.001458831	0.002794408	13.40327	36.61854	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	4	1	5	5	5	20	7222
A	7	0x0400000000004000	1688752956.044394000	1688752956.044394000	0.000000000	1	3	eth:ipv4:udp	5a:c3:92:7d:95:cc	01:00:5e:00:00:fb	0x0800		192.168.2.14	07	"Private network"	5353	224.0.0.251	10	"mDNS"	5353	17	0x00	1	5a:c3:92:7d:95:cc_01:00:5e:00:00:fb_1	-_IPv4Multi	5353	mdns	1	0	108	0	108	108	108	0	0	0	0	0	0	0	1	1	0x0001	65535	0	255	255	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	1	1	1	1	1	108
A	8	0x0800000000008000	1688752956.147290000	1688752956.147290000	0.000000000	1	3	eth:ipv6:udp	5a:c3:92:7d:95:cc	33:33:00:00:00:fb	0x86dd		fe80::1c76:dd86:aa85:a425	02	"Link-local"	5353	ff02::fb	10	"mDNSv6"	5353	17	0x00	1	5a:c3:92:7d:95:cc_33:33:00:00:00:fb_1	-_IPv6Multi	5353	mdns	1	0	108	0	108	108	108	0	0	0	0	0	0	0	1	1	0x0001	65535	0	255	255	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	1	1	0.5	1	23	720
A	10	0x0400000000004000	1688752986.047693000	1688752986.047693000	0.000000000	1	3	eth:ipv4:udp	d8:5e:d3:86:28:56	01:00:5e:00:00:fb	0x0800		192.168.2.22	07	"Private network"	5353	224.0.0.251	10	"mDNS"	5353	17	0x00	1	d8:5e:d3:86:28:56_01:00:5e:00:00:fb_1	GigaByteT,TW_IPv4Multi	5353	mdns	1	0	77	0	77	77	77	0	0	0	0	0	0	0	1	1	0x0001	65535	0	255	255	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	1	1	1	1	2	278
A	11	0x0400000000004000	1688753003.673307000	1688753003.673307000	0.000000000	1	3	eth:ipv4:udp	5c:e9:1e:6a:fd:c6	b8:d9:4d:f1:84:60	0x0800		192.168.2.168	07	"Private network"	59643	192.168.2.1	07	"Private network"	53	17	0x00	1	5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_1	-_SagemcomB,FR	53	domain	1	1	61	217	61	61	61	0	0	0	0	0	0	0	0	-0.5611511	0x0001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.004988992	0.004988992	0.004988992	0.004988992	0	0.004988992	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	2	4	4	1.333333	1	1241	143300
B	11	0x0400000000004001	1688753003.678296000	1688753003.678296000	0.000000000	1	3	eth:ipv4:udp	b8:d9:4d:f1:84:60	5c:e9:1e:6a:fd:c6	0x0800		192.168.2.1	07	"Private network"	53	192.168.2.168	07	"Private network"	59643	17	0x00	1	b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_1	SagemcomB,FR_-	53	domain	1	1	217	61	217	217	217	0	0	0	0	0	0	0	0	0.5611511	0x0001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0.004988992	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	3	3	3	1.5	1	8	2199
