%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	16	0x0400000000004000	1688745646.358217000	1688745648.429669000	2.071452000	1	3	eth:ipv4:tcp	5c:e9:1e:6a:fd:c6	b8:d9:4d:f1:84:60	0x0800		192.168.2.168	07	"Private network"	57556	17.248.175.148	us	"MAINT-APNIC-AP"	443	6	0x00	1	5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_20	-_SagemcomB,FR	443	https	20	18	2558	7825	0	1217	127.9	281.1034	0	1.876693	0.1035726	0.3947651	9.655064	1234.883	0.05263158	-0.5072715	0x0a13	0	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3013588030	18	2558	0	19	7825	0	1947	65535	4418.528	2880	65535	1	1	1	0	0x011b	0x0000	20	64	0x0000011e	1460	64	0x0000	0x00	0	0x00	662083647	1798713113	0.1	66208365.686582	1622537283.3780656696	0.02147802	9.4976e-05	0.03373299	0.01523828	0.009532108	0.02162301	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	4	6	2	1.5	203	23195
B	16	0x0400000000004001	1688745646.379695000	1688745648.430539000	2.050844000	1	3	eth:ipv4:tcp	b8:d9:4d:f1:84:60	5c:e9:1e:6a:fd:c6	0x0800		17.248.175.148	us	"MAINT-APNIC-AP"	443	192.168.2.168	07	"Private network"	57556	6	0x00	1	b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_18	SagemcomB,FR_-	443	https	18	20	7825	2558	0	1440	434.7222	536.1995	0	1.898675	0.1139358	0.4192715	8.776875	3815.502	-0.05263158	0.5072715	0x0613	1	49763	53	53	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3064021974	18	7825	0	18	2558	0	2880	65160	64181.62	64128	65160	2	0	0	0	0x031b	0x0000	18	56	0x0000011e	1452	128	0x0000	0x00	0	0x00	1798713115	662083626	0.1	179871314.180291	1508874334.861979400	0.000144992	6.5984e-05	1.878677	0.2864134	0.649576	0.3016517	0.6496459	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	3	3	5	5	1.666667	37	15293
A	15	0x0400000000004000	1688745646.145996000	1688745648.429719000	2.283723000	1	3	eth:ipv4:tcp	5c:e9:1e:6a:fd:c6	b8:d9:4d:f1:84:60	0x0800		192.168.2.168	07	"Private network"	57555	17.248.175.148	us	"MAINT-APNIC-AP"	443	6	0x00	1	5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_18	-_SagemcomB,FR	443	https	18	19	2295	7468	0	1216	127.5	275.9119	0	2.086483	0.1268735	0.4592804	7.881866	1004.938	-0.02702703	-0.5298576	0x0a13	0	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	125480809	16	2295	0	17	7468	0	1684	65535	4487.771	2880	65535	1	1	1	0	0x011b	0x0000	18	58	0x0000011e	1460	64	0x0000	0x00	0	0x00	4181691684	1798713113	0.1	418169174.631206	1270576474.3886031696	0.02158499	0.000818976	0.03425501	0.01635369	0.007665569	0.02182099	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	2	4	1.333333	2	203	23195
B	15	0x0400000000004001	1688745646.167581000	1688745648.430538000	2.262957000	1	3	eth:ipv4:tcp	b8:d9:4d:f1:84:60	5c:e9:1e:6a:fd:c6	0x0800		17.248.175.148	us	"MAINT-APNIC-AP"	443	192.168.2.168	07	"Private network"	57555	6	0x00	1	b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_19	SagemcomB,FR_-	443	https	19	18	7468	2295	0	1440	393.0526	515.3997	0	2.108309	0.119103	0.4550386	8.396093	3300.107	0.02702703	0.5298576	0x0613	1	63590	53	53	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1534656802	19	7468	0	19	2295	0	2880	65160	64165.53	64128	65160	2	0	0	0	0x031b	0x0000	19	59	0x0000011e	1452	128	0x0000	0x00	0	0x00	1798713114	4181691665	0.1	179871314.080291	1508874334.960979400	0.000236	4.6e-05	2.08783	0.3540341	0.7503569	0.3703878	0.750396	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	3	1	3	3	3	37	15293
A	20	0x0400000000004000	1688745755.850087000	1688745766.119524000	10.269437000	1	3	eth:ipv4:tcp	5c:e9:1e:6a:fd:c6	b8:d9:4d:f1:84:60	0x0800		192.168.2.168	07	"Private network"	57557	149.112.122.10	tr	"Early registration addresses"	443	6	0x00	1	5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_22	-_SagemcomB,FR	443	https	22	13	1698	1321	0	628	77.18182	116.9024	0	10.09349	0.4667926	2.034245	2.142279	165.345	0.2571429	0.1248758	0x0a13	0	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3965182976	18	1698	0	18	1297	0	976	65535	44986.04	0	132480	5	1	6	0	0x011f	0x0000	19	61	0x0000011e	1460	64	0x0000	0x00	0	0x00	2674838778	3036144847	0.001	2674838.905048	1686070928.2586573376	0.03509101	0.001425	10.09331	0.8026309	2.529864	0.03527603	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	6	1	2	10	1.666667	5	594	67375
B	20	0x0400000000004001	1688745755.885178000	1688745766.119417000	10.234239000	1	3	eth:ipv4:tcp	b8:d9:4d:f1:84:60	5c:e9:1e:6a:fd:c6	0x0800		149.112.122.10	tr	"Early registration addresses"	443	192.168.2.168	07	"Private network"	57557	6	0x00	1	b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_13	SagemcomB,FR_-	443	https	13	22	1321	1698	0	785	101.6154	197.3478	0	10.02063	0.7872491	2.514254	1.270246	129.0765	-0.2571429	-0.1248758	0x0a13	1	7196	51	51	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1098162499	13	1321	0	13	1698	0	785	28960	36647.49	28960	36864	0	3	1	0	0x031b	0x0000	13	41	0x0000011e	1452	512	0x0000	0x00	0	0x00	3036144943	2674838778	0.001	3036145.087209	1685709621.3365674008	0.000185024	4.4e-05	0.004926016	0.001057633	0.001069365	0.8036885	2.529864	0x12	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	1	9	9	9	13	1321
A	1	0x0400000000004001	1688745608.301218000	1688745608.301218000	0.000000000	1	3	eth:ipv4:udp	b8:d9:4d:f1:84:60	5c:e9:1e:6a:fd:c6	0x0800		192.168.2.1	07	"Private network"	53	192.168.2.168	07	"Private network"	56285	17	0x00	1	b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_1	SagemcomB,FR_-	53	domain	1	0	109	0	109	109	109	0	0	0	0	0	0	0	-1	1	0x0001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	5	9	9	9	1	5	793
A	9	0x0400000000004000	1688745638.080347000	1688745639.105525000	1.025178000	1	3	eth:ipv4:udp	d8:5e:d3:86:28:56	01:00:5e:00:00:fb	0x0800		192.168.2.22	07	"Private network"	5353	224.0.0.251	10	"mDNS"	5353	17	0x00	1	d8:5e:d3:86:28:56_01:00:5e:00:00:fb_8	GigaByteT,TW_IPv4Multi	5353	mdns	8	0	224	0	28	28	28	0	0	1.022517	0.1281472	0.3031742	7.803523	218.4987	1	1	0x0001	1	1	1	1	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	1	1	0.5	1	11	374
A	11	0x0800000000008000	1688745638.080401000	1688745639.206730000	1.126329000	1	3	eth:ipv6:udp	d8:5e:d3:86:28:56	33:33:00:00:00:fb	0x86dd		fe80::288f:7785:39e6:523	02	"Link-local"	5353	ff02::fb	10	"mDNSv6"	5353	17	0x00	1	d8:5e:d3:86:28:56_33:33:00:00:00:fb_8	GigaByteT,TW_IPv6Multi	5353	mdns	8	0	224	0	28	28	28	0	0	1.022519	0.1407911	0.3001111	7.102721	198.8762	1	1	0x0001	65535	0	1	1	0	0x00	0x4000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	8	224
A	10	0x0400000000004000	1688745638.080348000	1688745639.617243000	1.536895000	1	3	eth:ipv4:udp	d8:5e:d3:86:28:56	ff:ff:ff:ff:ff:ff	0x0800		192.168.2.22	07	"Private network"	137	192.168.2.255	07	"Private network"	137	17	0x00	1	d8:5e:d3:86:28:56_ff:ff:ff:ff:ff:ff_3	GigaByteT,TW_Broadcast	137	netbios-ns	3	0	150	0	50	50	50	0	0	0.819209	0.5122983	0.2645499	1.951988	97.59938	1	1	0x0001	1	1	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	11	374
