%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,1,0x0400000000004001,1688763613,1688763613,0,1,3,eth:ipv4:udp,b8:d9:4d:f1:84:60,5c:e9:1e:6a:fd:c6,0x0800,,192.168.2.1,7,Private network,53,192.168.2.168,7,Private network,56876,17,0x00,1,b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_1,"SagemcomB,FR_-",53,domain,1,0,109,0,109,109,109,0,0,0,0,0,0,0,-1,1,0x0001,65535,0,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0,0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,5,17,17,17,1,9,769
A,4,0x0400000000004000,1688763614,1688763618,3.993642,1,3,eth:ipv4:udp,5a:c3:92:7d:95:cc,01:00:5e:00:00:fb,0x0800,,192.168.2.14,7,Private network,5353,224.0.0.251,10,mDNS,5353,17,0x00,1,5a:c3:92:7d:95:cc_01:00:5e:00:00:fb_3,#NAME?,5353,mdns,3,0,324,0,108,108,108,0,0,2.969552,1.331214,0.9910166,0.751194,81.12895,1,1,0x0001,25467,25467,255,255,0,0x00,0x0004,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0,0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,2,1,1,0.5,1,6,352
A,5,0x0800000000008000,1688763614,1688763618,3.993655,1,3,eth:ipv6:udp,5a:c3:92:7d:95:cc,33:33:00:00:00:fb,0x86dd,,fe80::1c76:dd86:aa85:a425,2,Link-local,5353,ff02::fb,10,mDNSv6,5353,17,0x00,1,5a:c3:92:7d:95:cc_33:33:00:00:00:fb_3,#NAME?,5353,mdns,3,0,324,0,108,108,108,0,0,3.072005,1.331218,1.039663,0.7511916,81.12869,1,1,0x0001,65535,0,255,255,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0,0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,1,1,1,1,3,324
A,28,0x0400000000004000,1688763800,1688763800,0.1468,1,3,eth:ipv4:tcp,5c:e9:1e:6a:fd:c6,b8:d9:4d:f1:84:60,0x0800,,192.168.2.168,7,Private network,57944,54.192.51.15,us,Amazoncom,443,6,0x00,1,5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_15,#NAME?,443,https,15,18,892,7393,0,490,59.46667,111.5707,0,0.064769,0.009786666,0.01571298,102.1798,6076.294,-0.09090909,-0.7846711,0x0a33,0,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3221015840,13,892,0,14,7393,0,490,65535,130390.8,65535,131328,4,4,5,0,0x011b,0x0000,15,49,0x0000011e,1460,64,0x0000,0x00,0,0x00,2553814091,1201384145,1,2553814091,1.84467E+19,0.01878803,0.001132032,0.06470701,0.02334995,0.01876163,0.01891405,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,7,1,2,12,1.714286,6,709,79143
B,28,0x0400000000004001,1688763800,1688763800,0.129144,1,3,eth:ipv4:tcp,b8:d9:4d:f1:84:60,5c:e9:1e:6a:fd:c6,0x0800,,54.192.51.15,us,Amazoncom,443,192.168.2.168,7,Private network,57944,6,0x00,1,b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_18,"SagemcomB,FR_-",443,https,18,15,7393,892,0,1428,410.7222,523.4373,0,0.064751,0.007174666,0.01474789,139.3793,57246.18,0.09090909,0.7846711,0x0a13,1,64488,246,246,0,0x00,0x4040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1025039492,18,7393,0,18,892,0,4284,65535,68051.1,65535,68096,0,2,1,0,0x031b,0x0000,18,56,0x0000011e,1440,512,0x0000,0x00,0,0x00,1201384146,2553814072,1,1201384146,487379653.2,0.000126016,4.30E-05,0.002131008,0.000666876,0.000658925,0.02401682,0.0187732,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,7,1,11,11,11,18,7393
A,31,0x0400000000004000,1688763800,1688763800,0.570309,1,3,eth:ipv4:tcp,5c:e9:1e:6a:fd:c6,b8:d9:4d:f1:84:60,0x0800,,192.168.2.168,7,Private network,57945,54.246.146.192,us,Amazon Technologies Inc,443,6,0x00,1,5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_16,#NAME?,443,https,16,18,1263,8176,0,612,78.9375,165.3205,0,0.12324,0.03564431,0.04636646,28.05497,2214.589,-0.05882353,-0.7323869,0x0a33,0,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1284226979,15,1263,0,15,8176,0,612,65535,130437.8,65535,132480,5,6,6,0,0x011b,0x0000,16,52,0x0000011e,1460,64,0x0000,0x00,0,0x00,817242883,1969837679,0.001,817242.9218,1687946558,0.107266,0.000207,0.123162,0.09807317,0.03313176,0.107386,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,6,1,6,10,1.666667,1.666667,709,79143
B,31,0x0400000000004001,1688763800,1688763800,0.462938,1,3,eth:ipv4:tcp,b8:d9:4d:f1:84:60,5c:e9:1e:6a:fd:c6,0x0800,,54.246.146.192,us,Amazon Technologies Inc,443,192.168.2.168,7,Private network,57945,6,0x00,1,b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_18,"SagemcomB,FR_-",443,https,18,16,8176,1263,0,1440,454.2222,550.9911,0,0.123536,0.02571878,0.04336846,38.8821,17661.11,0.05882353,0.7323869,0x0a13,1,35838,239,239,0,0x00,0x4040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3634018001,18,8176,0,18,1264,0,5068,26847,28935.08,26847,29184,0,2,1,0,0x031b,0x0000,18,56,0x0000011e,1452,256,0x0000,0x00,0,0x00,1969837679,817242773,0.001,1969837.773,1686793963,0.00012,5.50E-05,0.010772,0.002073191,0.003415713,0.1001464,0.03330737,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,6,5,9,9,1.8,39,12433
A,32,0x0400000000004000,1688763800,1688763801,0.429311,1,3,eth:ipv4:tcp,5c:e9:1e:6a:fd:c6,b8:d9:4d:f1:84:60,0x0800,,192.168.2.168,7,Private network,57946,54.246.146.192,us,Amazon Technologies Inc,443,6,0x00,1,5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_11,#NAME?,443,https,11,10,1242,2130,0,599,112.9091,193.581,0,0.113352,0.03902827,0.04508039,25.62245,2893.008,0.04761905,-0.2633452,0x0a13,0,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3756436633,10,1242,0,10,2130,0,612,65535,129382.1,65535,132480,2,3,3,0,0x011b,0x0000,11,37,0x0000011e,1460,64,0x0000,0x00,0,0x00,386194192,1969837847,1,386194192,1302569608,0.105553,0.102862,0.113293,0.1065888,0.004140247,0.105671,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,6,1,4,8,1.333333,2,709,79143
B,32,0x0400000000004001,1688763800,1688763801,0.32357,1,3,eth:ipv4:tcp,b8:d9:4d:f1:84:60,5c:e9:1e:6a:fd:c6,0x0800,,54.246.146.192,us,Amazon Technologies Inc,443,192.168.2.168,7,Private network,57946,6,0x00,1,b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_10,"SagemcomB,FR_-",443,https,10,11,2130,1242,0,1440,213,403.1473,0,0.104777,0.032357,0.04087644,30.90521,6582.81,-0.04761905,0.2633452,0x0a13,1,31578,238,238,0,0x00,0x4040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2562350722,10,2130,0,10,1243,0,1983,26847,29171.89,26847,29440,0,2,1,0,0x031b,0x0000,10,32,0x0000011e,1452,256,0x0000,0x00,0,0x00,1969837847,386194087,1,1969837847,1.84467E+19,0.000118,5.90E-05,0.001230992,0.00042509,0.000299308,0.1070139,0.004151051,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,6,3,7,7,2.333333,39,12433
A,33,0x0400000000004000,1688763800,1688763801,0.437145,1,3,eth:ipv4:tcp,5c:e9:1e:6a:fd:c6,b8:d9:4d:f1:84:60,0x0800,,192.168.2.168,7,Private network,57947,54.246.146.192,us,Amazon Technologies Inc,443,6,0x00,1,5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_11,#NAME?,443,https,11,11,1190,2127,0,599,108.1818,184.4329,0,0.109766,0.03974045,0.04570454,25.16327,2722.209,0,-0.2824842,0x0a13,0,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,4026561502,10,1190,0,10,2127,0,599,65535,129382.1,65535,132480,2,3,3,0,0x011b,0x0000,11,37,0x0000011e,1460,64,0x0000,0x00,0,0x00,3741318316,1969838020,1,3741318316,1.84467E+19,0.107812,0.107152,0.109642,0.1085406,0.000837878,0.107892,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,6,1,2,6,1,3,709,79143
