"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpSeqFaultCnt","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpEchoSuccRatio","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN"
4,288230376151728128,5.011401,3,2048,443,60935,6,443,12,13,9426,1750,0,1368,785.5,521.8568,4.062143,0.4176168,1.063302,2.39454,1880.911,-0.04,0.6868289,531,40889,24638,56,56,0,0,68,1570825207,12,9426,0,12,1750,0,4104,65160,64544.21,64512,65160,2,0,0,795,0,12,38,286,1380,512,2236026505,2358436374,0.004,8944106.445,1680827457,0.000123008,6.2e-05,0.663126,0.05185677,0.1695442,0.4531417,1.068687,0,0,0,0,0,1,7,7,17,17,2.428571,41,32569,"0"
7,288230376151728128,4.997658,3,2048,60937,443,6,443,13,14,1750,10841,0,1153,134.6154,298.6637,4.066587,0.3844352,1.040026,2.601218,350.164,-0.03703704,-0.7220237,2611,0,0,64,64,0,0,64,3830887609,12,1750,0,12,10841,0,1233,65535,129367.3,65535,131328,4,4,5,283,0,13,43,286,1460,64,590267519,1155122394,0.001,590267.547,1689181301,0.02272403,0.000748992,4.066356,0.2999788,1.003672,0.02285101,0,0,0,0,0,0,7,1,7,17,2.428571,2.428571,489,21951,"0"
7,288230376151728128,4.998725,3,2048,443,60937,6,443,14,13,10841,1750,0,1368,774.3571,544.7072,4.066515,0.3570518,1.011481,2.800714,2168.753,0.03703704,0.7220237,531,17049,48476,56,56,0,0,16452,3074071456,14,10841,0,14,1750,0,6959,65160,64527.78,64512,65160,2,0,0,795,0,14,44,286,1380,512,1155123335,590267519,0.001,1155123.39,1688616445,0.000126976,4.29e-05,0.849323,0.06631415,0.2171798,0.366293,1.0269,0,0,0,0,0,1,7,6,16,16,2.666667,56,47049,"0"
12,288230376151728128,4.993757,3,2048,60939,443,6,443,12,14,1750,12302,0,1153,145.8333,306.165,4.079367,0.4161464,1.07512,2.403001,350.4376,-0.07692308,-0.7509251,2611,0,0,64,64,0,0,64,919938179,11,1750,0,11,12302,0,1233,65535,128838.3,65535,131328,3,3,4,283,0,12,40,286,1460,64,4280568183,2014408251,0.001,4280568.386,1685491005,0.02090496,0.005665024,4.079083,0.3046875,1.005805,0.02120698,0,0,0,0,0,0,7,1,7,17,2.428571,2.428571,639,27555,"0"
12,288230376151728128,4.996727,3,2048,443,60939,6,443,14,12,12302,1750,0,1368,878.7143,528.4594,4.079409,0.3569091,1.013973,2.801834,2462.012,0.07692308,0.7509251,531,12694,52831,56,56,0,0,68,817874532,14,12302,0,14,1750,0,8133,65160,64542.83,64512,65160,2,0,0,795,0,14,44,286,1380,512,2014409186,4280568183,0.001,2014409.282,1687757164,0.000302016,0.00016096,0.831916,0.07081692,0.2197257,0.3755044,1.029525,0,0,0,0,0,1,7,6,16,16,2.666667,74,63637,"0"
13,288230376151728128,5.001666,3,2048,60940,443,6,443,13,17,1750,14480,0,1153,134.6154,296.5138,4.100979,0.3847435,1.04766,2.599134,349.8834,-0.1333333,-0.78435,2611,0,0,64,64,0,0,64,630649944,12,1750,0,12,14480,0,1233,65535,129016.8,65535,131328,3,4,4,283,0,13,43,286,1460,64,2546860671,2424704999,0.001,2546860.792,1687224718,0.02283904,0.000630976,4.10076,0.2549374,0.931124,0.02297005,0,0,0,0,0,0,7,1,8,18,2.571429,2.25,743,33575,"0"
13,288230376151728128,5.066334,3,2048,443,60940,6,443,17,13,14480,1750,0,1368,851.7647,536.5261,4.100948,0.2980196,0.9431805,3.355484,2858.083,0.1333333,0.78435,531,25982,39540,56,56,0,0,68,4017505797,17,14480,0,17,1750,0,10311,65160,64517.41,64512,65160,2,0,0,795,0,17,53,286,1380,512,2424705953,2546860671,0.01,24247058.99,1665524520,0.000131008,7.4e-05,0.8183799,0.0639837,0.2092439,0.3189211,0.9543453,0,0,0,0,0,1,7,7,17,17,2.428571,110,95749,"0"
14,288230376151728128,4.991471,3,2048,60941,443,6,443,13,18,1750,16588,0,1153,134.6154,296.5138,4.03747,0.3839593,1.029292,2.604443,350.5981,-0.1612903,-0.8091395,2611,0,0,64,64,0,0,64,4229873260,12,1750,0,12,16588,0,1233,65535,129079.7,65535,131328,4,5,5,283,0,13,43,286,1460,64,3860786959,3734423388,0.001,3860787.142,1685910796,0.08384698,0.000619968,4.037393,0.2390287,0.8938677,0.084157,0,0,0,0,0,0,7,1,7,17,2.428571,2.428571,869,37393,"0"
15,288230376151728128,4.996591,3,2048,60942,443,6,443,19,20,1750,17943,0,1153,92.10526,252.6384,4.015419,0.2629785,0.8802667,3.802593,350.2388,-0.02564103,-0.8222719,2611,0,0,64,64,0,0,64,2653212904,18,1750,0,18,17943,0,1233,65535,130524.8,65535,131328,7,7,8,283,0,19,61,286,1460,64,4175443999,2014423248,0.001,4175444.197,1685596144,0.02314701,8.7e-05,4.015227,0.2117326,0.8493644,0.02343904,0,0,0,0,0,0,9,1,7,17,1.888889,2.428571,965,41963,"0"
15,288230376151728128,4.998071,3,2048,443,60942,6,443,20,19,17943,1750,0,1368,897.15,554.6693,4.015286,0.2499035,0.8622782,4.001544,3589.985,0.02564103,0.8222719,531,124,65395,56,56,0,0,68,3610012370,20,17943,0,20,1750,0,5472,65160,64513.86,64512,65160,2,0,0,795,0,20,62,286,1380,512,2014424186,4175443999,0.001,2014424.282,1687757164,0.000292032,3.2e-05,0.8811131,0.04725201,0.1913118,0.2589846,0.8706436,0,0,0,0,0,1,9,6,16,16,2.666667,137,123021,"0"
