"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpSeqFaultCnt","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpEchoSuccRatio","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN"
15,288230376151728128,0,3,2048,80,53608,6,80,1,2,0,0,0,0,0,0,0,0,0,0,0,-0.3333333,0,19,65535,0,50,50,0,0,0,364394336,1,0,0,1,0,0,0,131,131,131,131,0,0,0,273,8192,1,3,258,0,0,4186144995,1902609145,0.01,41861449.01,1648342525,0,0.000174,0.000174,8.7e-05,6.15e-05,0.04025599,6.15e-05,1,0,0,0,0,1,10,1,1,1,1,1,0,"0"
17,288230376151728128,0.020887,3,2048,53607,443,6,443,3,3,24,0,0,24,8,8.326664,0.019958,0.006962334,0.007507843,143.63,1149.04,0,1,19,0,0,64,64,0,0,64,2558711345,2,24,0,3,0,0,0,2048,2048,2048,2048,0,0,0,281,12288,3,9,258,0,0,698592937,530763084,1,698592937,991611037.8,0,0.001092,0.01987402,0.01361334,0.007229201,0,0,1,0,0,0,0,9,1,2,18,2,9,1700,25435,"0"
17,288230376151728128,0.001176,3,2048,443,53607,6,443,3,3,0,24,0,0,0,0,0.001176,0.000392,0.000452643,2551.021,0,0,-1,19,1,1,53,53,0,0,16448,237087488,3,0,0,3,0,0,0,501,501,501,501,0,0,0,273,8192,3,9,258,0,0,530763085,698592917,1,530763085,1159440889,0,8.4e-05,8.4e-05,2.8e-05,3.23e-05,0.01364134,0.007229274,1,0,0,0,0,1,9,1,17,17,17,3,0,"0"
6,288230376151728128,6.002367,3,2048,53669,443,6,443,11,18,1747,16701,0,1150,158.8182,313.0559,4.076265,0.5456697,1.146582,1.83261,291.0518,-0.2413793,-0.8106028,2611,0,0,64,64,0,0,64,866377708,10,1747,0,10,16701,0,1230,65535,127874.5,65535,132480,3,3,4,283,0,11,37,286,1460,64,1887601507,924420470,0.001,1887601.597,1688316373,0.02278906,0.02187302,4.075982,0.3432934,0.8823272,0.02291104,0,0,0,0,0,0,8,1,6,16,2,2.666667,1700,25435,"0"
6,288230376151728128,6.002145,3,2048,443,53669,6,443,18,11,16701,1747,0,1440,927.8333,566.1036,4.076216,0.3334525,0.9536627,2.998928,2782.505,0.2413793,0.8106028,531,54962,10559,57,57,0,0,68,2322158414,18,16701,0,18,1747,0,12532,65160,64519.4,64512,65160,2,0,0,795,0,18,56,286,1452,512,924422203,1887601507,0.001,924422.2469,1689279552,0.000121984,6.6e-05,1.634155,0.1497364,0.447574,0.4930298,0.9893553,0,0,0,0,0,1,8,5,15,15,3,54,53720,"0"
20,288230376151728128,5.997852,3,2048,53672,443,6,443,15,19,1747,18471,0,1150,116.4667,276.4578,4.000607,0.3998568,1.032665,2.500896,291.2709,-0.1176471,-0.8271837,2611,0,0,64,64,0,0,64,1179225034,14,1747,0,14,18471,0,1230,65535,129472.8,65535,132480,5,5,6,283,0,15,49,286,1460,64,1558841174,571549872,0.001,1558841.248,1688645139,0.02434598,0.000782976,4.000406,0.2215951,0.8656263,0.024472,0,0,0,0,0,0,8,1,6,16,2,2.666667,2023,30987,"0"
20,288230376151728128,6.000001,3,2048,443,53672,6,443,19,15,18471,1747,0,1440,972.1579,567.6632,4.000451,0.3157895,0.94134,3.166666,3078.5,0.1176471,0.8271837,531,40040,25480,57,57,0,0,16452,4124748388,19,18471,0,19,1747,0,8640,65160,64514.65,64512,65160,2,0,0,795,0,19,59,286,1452,512,571551806,1558841174,0.001,571551.8331,1689632429,0.000126016,3e-05,1.899132,0.1274455,0.4574518,0.3490406,0.9790664,0,0,0,0,0,1,8,5,15,15,3,74,72379,"0"
26,288230376151728128,5.988116,3,2048,53673,443,6,443,16,19,1747,18548,0,1150,109.1875,269.0673,4.043752,0.3742573,1.011219,2.671959,291.7445,-0.08571429,-0.8278394,2611,0,0,64,64,0,0,64,1273055473,15,1747,0,15,18548,0,1230,65535,129795.5,65535,132480,6,5,7,283,0,16,52,286,1460,64,2995324442,3776531239,0.001,2995324.584,1687208662,0.023584,0.001328,4.043582,0.2238261,0.8750047,0.02384896,0,0,0,0,0,0,9,1,6,16,1.777778,2.666667,2427,36876,"0"
26,288230376151728128,5.990238,3,2048,443,53673,6,443,19,16,18548,1747,0,1440,976.2105,565.2905,4.043862,0.3152757,0.9452928,3.171827,3096.371,0.08571429,0.8278394,531,60020,5500,57,57,0,0,16452,2389766833,19,18548,0,19,1747,0,7258,65160,64517.18,64512,65160,2,0,0,795,0,19,59,286,1452,512,3776533166,2995324442,0.001,3776533.345,1686427453,0.00026496,8.1e-05,1.845967,0.116477,0.4323773,0.3403031,0.9760038,0,0,0,0,0,1,9,5,15,15,3,94,91103,"0"
27,288230376151728128,6.002938,3,2048,53674,443,6,443,14,20,1747,18659,0,1150,124.7857,284.463,3.992268,0.4287813,1.059687,2.332191,291.0242,-0.1764706,-0.8287758,2611,0,0,64,64,0,0,64,1707955571,13,1747,0,13,18659,0,1230,65535,129546.7,65535,132480,5,4,6,283,0,14,46,286,1460,64,3896008629,4232109620,0.001,3896008.814,1686307984,0.02456198,0.00304896,3.992095,0.2126927,0.8439788,0.024672,0,0,0,0,0,0,9,1,6,16,1.777778,2.666667,2698,42428,"0"
