"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpSeqFaultCnt","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpEchoSuccRatio","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN"
373,288230376151728128,6.006042,3,2048,57895,443,6,443,15,20,1766,17903,0,1169,117.7333,282.9628,4.016055,0.4004028,1.036279,2.497485,294.0372,-0.1428571,-0.8204281,2611,0,0,64,64,0,0,64,806873151,14,1766,0,14,17903,0,1249,65535,129721.1,65535,131328,5,4,6,283,0,15,49,286,1460,64,1571850766,2295920951,0.004,6287403.363,1683417238,0.02005798,0.00287296,4.015823,0.2121339,0.8493897,0.02035597,0,0,0,0,0,0,8,1,6,14,1.75,2.333333,40315,1452049,"0"
970,288230376151728128,4.995899,3,2048,443,50919,6,443,20,16,17551,1748,0,1368,877.55,538.3395,4.037394,0.2497949,0.8658867,4.003284,3513.081,0.1111111,0.8188507,531,5733,59786,56,56,0,2,68,3785553469,20,17551,0,20,1748,0,9760,65160,64513.86,64512,65160,2,0,0,859,0,20,62,286,1380,512,1194686311,1356789020,0.001,1194686.368,1688616445,0.000148992,6.5e-05,0.854855,0.05447687,0.2001075,0.2660756,0.8774313,0,0,0,0,0,1,6,6,10,10,1.666667,14119,13409400,"0"
460,288230376151728128,60.249723,3,2048,52663,443,17,443,12,12,4102,3563,41,1350,341.8333,401.6358,20.19935,5.020811,8.249618,0.1991711,68.08331,0,0.07031964,1,0,0,64,64,0,2,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.01537901,0.000195968,0.153742,0.02767958,0.04112725,0.02485504,0,0,0,0,0,0,7,1,2,12,1.714286,6,45940,1702113,"0"
659,288230376151728128,1.957277,3,2048,443,62393,6,443,18,17,7585,2497,0,1368,421.3889,503.6664,1.839122,0.1087376,0.40654,9.196449,3875.282,0.02857143,0.5046618,531,1,11859,55,55,0,0,16448,124400056,18,7585,0,18,2497,0,6165,65160,64181.62,64128,65160,2,0,0,795,0,18,56,286,1380,128,755312359,1375150340,0.001,755312.3949,1689029056,0.000246,0.000199008,1.815578,0.3247745,0.6661547,0.3468381,0.6662333,0,0,0,0,0,1,10,1,15,15,15,18,7585,"0"
879,288230376151728128,4.999164,3,2048,49872,443,6,443,15,19,1750,17486,0,1153,116.6667,279.5474,4.003264,0.3332776,0.9690766,3.000502,350.0585,-0.1176471,-0.8180495,2611,0,0,64,64,0,2,64,2500523477,14,1750,0,14,17486,0,1233,65535,129806.5,65535,131328,4,6,5,475,0,15,49,286,1460,64,1837668241,1186996355,0.001,1837668.328,1687965774,0.02119904,0.000326976,4.003024,0.2219427,0.8661329,0.02146304,0,0,0,0,0,0,5,1,7,11,2.2,1.571429,74561,2740287,"0"
499,288230376151728128,6.004922,3,2048,58000,443,6,443,16,19,1766,17921,0,1169,110.375,275.3636,4.07156,0.3753076,1.016439,2.664481,294.0921,-0.08571429,-0.8205923,2611,0,0,64,64,0,0,64,1169663419,15,1766,0,15,17921,0,1249,65535,130211.3,65535,131328,6,6,7,283,0,16,52,286,1460,64,1447193808,1948093138,0.001,1447193.877,1688258066,0.02237702,0.000264,4.071361,0.2243203,0.8812461,0.02253702,0,0,0,0,0,0,8,1,6,14,1.75,2.333333,57964,2039602,"0"
13,288230376151728128,4.997807,3,2048,50190,443,6,443,13,17,1748,15296,0,1151,134.4615,296.0586,4.050455,0.3844467,1.035934,2.601141,349.7534,-0.1333333,-0.7948838,2611,0,0,64,64,0,2,64,932481283,12,1748,0,12,15296,0,1231,65535,129181.5,65535,131328,4,5,5,475,0,13,43,286,1460,64,803453154,2398997108,0.001,803453.1922,1689004263,0.020872,0.001482944,4.050226,0.2491756,0.920114,0.02115296,0,0,0,0,0,0,6,1,7,15,2.5,2.142857,811,33032,"0"
390,288230376151728128,0,3,2048,23,36028,6,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65535,0,64,64,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1044,8192,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.000272,0,67,0,0,0,0,1,1,1,1,1,1,33744,1195792,"0"
438,288230376151728128,4.992008,3,2048,62224,443,6,443,17,25,1750,26809,0,1153,102.9412,265.1039,4.075987,0.2936475,0.9333147,3.405443,350.5603,-0.1904762,-0.8774467,2611,0,0,64,64,0,0,64,4139150284,16,1750,0,16,26809,0,1233,65535,129611.5,65535,131328,6,5,7,283,0,17,55,286,1460,64,713958156,2248166221,0.001,713958.1899,1689069746,0.02211501,0.001199008,4.075735,0.1766985,0.7791522,0.02228099,0,0,0,0,0,0,6,1,8,12,2,1.5,32723,1448479,"0"
648,288230376151728128,5.997784,3,2048,58111,443,6,443,17,20,1766,17915,0,1169,103.8824,268.3275,4.061647,0.3528108,0.989925,2.83438,294.4421,-0.08108108,-0.8205376,2611,0,0,64,64,0,0,64,1150677630,16,1766,0,16,17915,0,1249,65535,130235.3,65535,131328,4,7,5,283,0,17,55,286,1460,64,1976224209,2297114990,0.001,1976224.303,1687729611,0.02114502,0.000460992,4.061457,0.2116227,0.8596919,0.02130099,0,0,0,0,0,0,7,1,6,12,1.714286,2,72913,2615737,"0"
19,288230376151728128,3540.067028,3,2048,0,0,2,0,60,0,0,0,0,0,0,0,60.01378,59.00111,6.140054,0.01694883,0,1,0,1,3500,7323,1,1,0,192,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,0,1,6,1,1,1,1,60,0,"0"
927,288230376151728128,4.992639,3,2048,443,61599,6,443,19,14,17452,1750,0,1368,918.5263,529.4982,4.033079,0.2627705,0.8845009,3.805603,3495.546,0.1515152,0.8177273,531,6225,59295,56,56,0,0,68,512002650,19,17452,0,19,1750,0,10944,65160,64514.65,64512,65160,2,0,0,795,0,19,59,286,1380,512,2017369205,1774979468,0.001,2017369.301,1687757164,0.000248,8.8e-05,0.859702,0.06256828,0.213056,0.286686,0.8981432,0,0,0,0,0,1,10,6,18,18,3,12406,11998407,"0"
