"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpSeqFaultCnt","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpEchoSuccRatio","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN"
40,288230376151728128,0.029189,3,2048,443,51455,6,443,4,4,24,24,0,24,6,7.81025,0.02878,0.00729725,0.01019285,137.0379,822.2275,0,0,19,0,1,56,56,0,2,68,2316287018,2,24,0,2,0,0,0,251,122.99,0,251,1,0,0,285,0,2,6,258,0,1,3202380090,2778861841,0.01,32023800.18,1657863673,0,0.00029696,0.00192,0.000940976,0.000567738,0.009894299,0.01035398,87,0,0,0,0,1,10,1,17,17,17,4,24,"0"
607,288230376151728128,4.998974,3,2048,443,54902,6,443,18,17,17594,1747,0,1440,977.4445,547.6098,4.091486,0.2777208,0.9160251,3.600739,3519.522,0.02857143,0.8193475,531,1439,64082,57,57,0,0,68,2290947254,18,17594,0,18,1747,0,7200,65160,64519.4,64512,65160,2,0,0,795,0,18,56,286,1452,512,3782940383,3802242438,0.001,3782940.563,1686427453,0.000206976,3.7e-05,0.808063,0.04841918,0.1842519,0.2887551,0.9247251,0,0,0,0,0,1,5,6,10,10,1.666667,9748,9448576,"0"
840,288230376151728128,6.007864,3,2048,443,54312,6,443,20,19,17530,1747,0,1440,876.5,590.6525,4.051469,0.3003932,0.9272119,3.32897,2917.842,0.02564103,0.8187478,531,4529,60990,57,57,0,0,68,3831266217,20,17530,0,20,1747,0,3595,65160,64513.86,64512,65160,2,0,0,795,0,20,62,286,1452,512,3178522462,93672615,0.004,12714090.45,1677493376,0.000140032,2.4e-05,1.852241,0.09806073,0.4024389,0.3133662,0.9464418,0,0,0,0,0,1,7,5,9,9,1.8,12176,11672621,"0"
768,288230376151728128,5.997998,3,2048,55621,443,6,443,25,27,1747,29930,0,1150,69.88,223.0702,4.02202,0.2399199,0.836721,4.168057,291.2639,-0.03846154,-0.8896992,2611,0,0,64,64,0,0,64,1016546170,24,1747,0,24,29930,0,1230,65535,130443.1,65535,132480,12,9,13,283,0,25,79,286,1460,64,1152304889,326250936,0.001,1152304.944,1688806377,0.02276,0.000169984,4.021801,0.1561942,0.7434369,0.02300998,0,0,0,0,0,0,6,1,6,10,1.666667,1.666667,194331,3164348,"0"
31,576460752303456256,364.001214,3,34525,3722,3722,17,3722,5,0,20,0,4,4,4,0,130.0003,72.80025,35.20707,0.01373622,0.05494487,1,1,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,0.3333333,52,4622,"0"
42,288230376151728128,5.000839,3,2048,54412,443,6,443,21,20,1747,17378,0,1150,83.19048,241.2025,4.060886,0.2381352,0.8508879,4.199295,349.3414,0.02439024,-0.8173072,2611,0,0,64,64,0,0,64,2939646168,20,1747,0,20,17378,0,1230,65535,129932.1,65535,132480,10,5,11,283,0,21,67,286,1460,64,2443775208,4236201802,0.001,2443775.324,1687764308,0.02289395,1.7e-05,4.060581,0.2143186,0.8589134,0.023072,0,0,0,0,0,0,7,1,8,16,2.285714,2,7026,106157,"0"
869,288230376151728128,0,3,2048,59787,53,17,53,1,1,55,416,55,55,55,0,0,0,0,0,0,0,-0.7664543,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.150051,0.150051,0.150051,0.150051,0,0.150051,0,0,0,0,0,0,5,1,2,2,0.4,1,223028,3476159,"0"
905,288230376151728128,0.603987,3,2048,56451,443,6,443,17,18,1212,7569,0,561,71.29412,152.6429,0.123396,0.03552864,0.04796696,28.1463,2006.666,-0.02857143,-0.7239494,18995,0,0,64,64,0,0,64,3389833091,16,1212,0,16,7569,2,561,65535,130576.1,65535,132480,4,5,5,283,8,17,61,318,1460,64,1299559833,976620135,1,1299559833,390405550.2,0.114768,0.111566,0.123197,0.1170189,0.002902957,0.115019,0,0,0,0,0,0,9,1,2,12,1.333333,6,170230,3254606,"0"
559,288230376151728128,5.999751,3,2048,51952,443,6,443,20,20,1747,17617,0,1150,87.35,244.3788,4.048845,0.2999875,0.9239078,3.333472,291.1787,0,-0.8195621,2611,0,0,64,64,0,0,64,890620390,19,1747,0,19,17617,0,1230,65535,130262.5,65535,132480,9,6,10,283,0,20,64,286,1460,64,596472046,257420988,0.001,596472.0743,1689293379,0.02447802,0.000171968,4.048628,0.2132451,0.8564913,0.02464403,0,0,0,0,0,0,7,1,6,10,1.428571,1.666667,138576,2374178,"0"
209,288230376151728128,0,3,2048,53,64966,17,53,1,1,107,43,107,107,107,0,0,0,0,0,0,0,0.4266667,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.004291008,0,0,0,0,0,0,1,6,7,7,7,1,36,6111,"0"
