"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpSeqFaultCnt","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpEchoSuccRatio","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isLab"
125,288230376151728128,7.001319,3,2048,59634,7000,6,7000,7,0,0,0,0,0,0,0,1.926877,1.000188,0.4418451,0.9998116,0,1,0,19,0,0,63,63,0,96,64,3155734023,0,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,2,1,7,49,286,1386,0,2519912793,0,0.001,2519912.913,1688559528,0,65535,0,0,0,0,0,3,0,0,0,0,1,5,2,2,2,1,49,0,"1"
133,288230376151728128,0,3,2048,39764,5061,6,5061,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,65535,0,254,254,0,0,0,1766685483,0,0,0,0,0,0,0,64240,64240,64240,64240,0,0,0,2,4096,1,1,4,1380,0,0,0,0,0,0,0,65535,0,0,0,0,0,3,0,0,0,0,1,12,3,3,3,1,5895,872762,"1"
39,288230376151728128,0,3,2048,39061,8080,6,8080,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,65535,0,242,242,0,0,64,2394175943,0,0,0,0,0,0,0,14600,14600,14600,14600,0,0,0,2,4096,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,3,0,0,0,0,1,2,1,1,1,1,26,688,"1"
64,288230376151728128,3.377903,3,2048,443,61010,6,443,7,0,120,0,0,24,17.14286,8.9057,1.763903,0.4825576,0.5550075,2.072292,35.525,-1,1,19,1,1,248,248,0,0,0,1552713480,2,24,0,7,0,0,0,134,134,134,134,0,0,0,281,0,7,21,258,0,0,2965469356,1776737132,0.001,2965469.497,1688112941,0,65535,0,0,0,0,0,3,0,0,0,0,1,5,5,23,23,4.6,56,960,"1"
18,68,0,2,2054,0,0,0,0,1,1,42,28,42,42,42,0,0,0,0,0,0,0,0.2,0,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1"
58,576460752303456256,7.004429,3,34525,5353,5353,17,5353,4,0,688,0,172,172,172,0,4.001664,1.751107,1.256393,0.5710673,98.22357,1,1,1,65535,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,57,688,"1"
115,288230376151728128,0,3,2048,68,67,17,67,1,1,300,300,300,300,300,0,0,0,0,0,0,0,0,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009131008,0.009131008,0.009131008,0.009131008,0,0.009131008,0,0,0,0,0,0,1,1,2,2,2,1,8471,1231314,"1"
51,288230376151728128,6.942596,3,2048,57821,7000,6,7000,7,0,0,0,0,0,0,0,1.945932,0.9917994,0.4477553,1.008268,0,1,0,19,0,0,63,63,0,96,64,2103626334,0,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,2,1,7,49,286,1386,0,4020499180,0,0.001,4020499.371,1687076699,0,65535,0,0,0,0,0,3,0,0,0,0,1,5,2,2,2,1,77,0,"1"
137,288230376151728128,6.963382,3,2048,51993,7000,6,7000,7,0,0,0,0,0,0,0,1.946036,0.9947689,0.4518788,1.005259,0,1,0,19,0,0,63,63,0,96,64,2268435603,0,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,2,1,7,49,286,1386,0,4089969180,0,0.001,4089969.374,1686998249,0,65535,0,0,0,0,0,3,0,0,0,0,1,5,1,1,1,1,27,84,"1"
210,288230376151728128,7.101441,3,2048,56752,7000,6,7000,7,0,0,0,0,0,0,0,2.093056,1.014492,0.4862263,0.9857154,0,1,0,19,0,0,63,63,0,96,64,10549632,0,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,2,1,7,49,286,1386,0,2126086610,0,0.01,21260865.62,1669820541,0,65535,0,0,0,0,0,3,0,0,0,0,1,8,1,1,1,1,92,0,"1"
