%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,5,0x0400000000004000,1689703154,1689703160,5.988524,1,3,eth:ipv4:tcp,5c:e9:1e:6a:fd:c6,40:06:d5:ed:7d:02,0x0800,,134.190.181.17,ca,Dalhousie University,57631,52.223.241.20,us,Amazon Technologies Inc,443,6,0x00,1,5c:e9:1e:6a:fd:c6_40:06:d5:ed:7d:02_12,-_-,443,https,12,19,1766,17005,0,1169,147.1667,309.9451,0,4.105027,0.4990437,1.12213,2.003833,294.8974,-0.2258064,-0.8118374,0x0a33,0,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2871281920,11,1766,0,11,17005,0,1249,65535,128357.5,65535,131328,3,3,4,0,0x011b,0x0000,12,40,0x0000011e,1460,64,0x0000,0x00,0,0x00,3947776886,1086712438,0.001,3947777.074,1685755382,0.01910202,0.01910202,4.1048,0.3120839,0.8709036,0.01930003,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,6,1,6,14,2.333333,2.333333,523,20894
B,5,0x0400000000004001,1689703154,1689703160,6.058767,1,3,eth:ipv4:tcp,40:06:d5:ed:7d:02,5c:e9:1e:6a:fd:c6,0x0800,,52.223.241.20,us,Amazon Technologies Inc,443,134.190.181.17,ca,Dalhousie University,57631,6,0x00,1,40:06:d5:ed:7d:02_5c:e9:1e:6a:fd:c6_19,-_-,443,https,19,12,17005,1766,0,1368,895,536.0952,0,4.105271,0.3188825,0.9452866,3.135952,2806.677,0.2258064,0.8118374,0x0213,21490,44030,56,56,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,702651167,19,17005,0,19,1766,0,12836,65160,64514.65,64512,65160,2,0,0,0,0x031b,0x0000,19,59,0x0000011e,1380,512,0x0000,0x00,0,0x00,1086714282,3947776886,0.01,10867142.58,1678836018,0.000198016,0.000198016,1.649549,0.1389138,0.436089,0.4509978,0.973985,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,6,5,13,13,2.6,56,51173
A,9,0x0400000000004000,1689703160,1689703166,5.996543,1,3,eth:ipv4:tcp,5c:e9:1e:6a:fd:c6,40:06:d5:ed:7d:02,0x0800,,134.190.181.17,ca,Dalhousie University,57633,52.223.241.20,us,Amazon Technologies Inc,443,6,0x00,1,5c:e9:1e:6a:fd:c6_40:06:d5:ed:7d:02_13,-_-,443,https,13,19,1766,17066,0,1169,135.8462,300.1597,0,4.022535,0.4612725,1.085843,2.167916,294.503,-0.1875,-0.8124469,0x0a33,0,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3979529541,12,1766,0,12,17066,0,1249,65535,129018.5,65535,131328,4,4,5,0,0x011b,0x0000,13,43,0x0000011e,1460,64,0x0000,0x00,0,0x00,1628496219,2294445041,0.001,1628496.296,1688074669,0.08728506,0.004628032,4.022317,0.227902,0.869298,0.08743501,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,6,1,6,14,2.333333,2.333333,654,26491
B,9,0x0400000000004001,1689703160,1689703166,5.933916,1,3,eth:ipv4:tcp,40:06:d5:ed:7d:02,5c:e9:1e:6a:fd:c6,0x0800,,52.223.241.20,us,Amazon Technologies Inc,443,134.190.181.17,ca,Dalhousie University,57633,6,0x00,1,40:06:d5:ed:7d:02_5c:e9:1e:6a:fd:c6_19,-_-,443,https,19,13,17066,1766,0,1368,898.2105,534.1663,0,4.022451,0.3123114,0.9383197,3.201933,2876.01,0.1875,0.8124469,0x0213,62327,3193,56,56,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,4036472828,19,17066,0,19,1766,0,10944,65160,64514.65,64512,65160,2,0,0,0,0x031b,0x0000,19,59,0x0000011e,1380,512,0x0000,0x00,0,0x00,2294446915,1628496219,0.001,2294447.024,1687408719,0.000149952,9.90E-05,1.812888,0.1405236,0.4638354,0.3684256,0.9853031,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,6,5,13,13,2.6,75,68317
A,10,0x0400000000004000,1689703166,1689703172,5.995147,1,3,eth:ipv4:tcp,5c:e9:1e:6a:fd:c6,40:06:d5:ed:7d:02,0x0800,,134.190.181.17,ca,Dalhousie University,57634,52.223.241.20,us,Amazon Technologies Inc,443,6,0x00,1,5c:e9:1e:6a:fd:c6_40:06:d5:ed:7d:02_14,-_-,443,https,14,20,1766,17102,0,1169,126.1429,291.1992,0,4.028682,0.4282248,1.064353,2.335222,294.5716,-0.1764706,-0.8128048,0x0a33,0,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,494685387,13,1766,0,13,17102,0,1249,65535,129567.5,65535,131328,4,4,5,0,0x011b,0x0000,14,46,0x0000011e,1460,64,0x0000,0x00,0,0x00,2070381010,2294450975,0.001,2070381.108,1687632790,0.02110797,0.005209984,4.028464,0.2137479,0.8518429,0.021336,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,6,1,6,14,2.333333,2.333333,785,32122
B,10,0x0400000000004001,1689703166,1689703172,5.997253,1,3,eth:ipv4:tcp,40:06:d5:ed:7d:02,5c:e9:1e:6a:fd:c6,0x0800,,52.223.241.20,us,Amazon Technologies Inc,443,134.190.181.17,ca,Dalhousie University,57634,6,0x00,1,40:06:d5:ed:7d:02_5c:e9:1e:6a:fd:c6_20,-_-,443,https,20,14,17102,1766,0,1368,855.1,546.3306,0,4.028804,0.2998626,0.9242433,3.33486,2851.639,0.1764706,0.8128048,0x0213,33122,32397,56,56,0,0x00,0x4044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,616085610,20,17102,0,20,1766,0,9760,65160,64513.86,64512,65160,2,0,0,0,0x031b,0x0000,20,62,0x0000011e,1380,512,0x0000,0x00,0,0x00,2294452913,2070381010,0.001,2294453.022,1687408718,0.000228032,0.00014496,1.872028,0.1350139,0.4642427,0.3487619,0.9701328,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,6,5,13,13,2.6,93,85363
A,11,0x0400000000004000,1689703172,1689703178,5.998058,1,3,eth:ipv4:tcp,5c:e9:1e:6a:fd:c6,40:06:d5:ed:7d:02,0x0800,,134.190.181.17,ca,Dalhousie University,57635,52.223.241.20,us,Amazon Technologies Inc,443,6,0x00,1,5c:e9:1e:6a:fd:c6_40:06:d5:ed:7d:02_13,-_-,443,https,13,19,1766,17144,0,1169,135.8462,300.1597,0,4.076331,0.4613891,1.101612,2.167368,294.4286,-0.1875,-0.8132205,0x0a33,0,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3122826451,12,1766,0,12,17144,0,1249,65535,129009.1,65535,131328,4,4,5,0,0x011b,0x0000,13,43,0x0000011e,1460,64,0x0000,0x00,0,0x00,49578143,1086730273,0.001,49578.14536,1689653599,0.02231002,0.005676032,4.076108,0.2271129,0.8816867,0.02247597,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,6,1,6,14,2.333333,2.333333,937,37719
B,11,0x0400000000004001,1689703172,1689703178,5.999257,1,3,eth:ipv4:tcp,40:06:d5:ed:7d:02,5c:e9:1e:6a:fd:c6,0x0800,,52.223.241.20,us,Amazon Technologies Inc,443,134.190.181.17,ca,Dalhousie University,57635,6,0x00,1,40:06:d5:ed:7d:02_5c:e9:1e:6a:fd:c6_19,-_-,443,https,19,13,17144,1766,0,1368,902.3158,532.1681,0,4.076275,0.3157504,0.9501985,3.167059,2857.687,0.1875,0.8132205,0x0213,64689,831,56,56,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2543686109,19,17144,0,19,1766,0,10944,65160,64514.65,64512,65160,2,0,0,0,0x031b,0x0000,19,59,0x0000011e,1380,512,0x0000,0x00,0,0x00,1086732215,49578143,0.001,1086732.267,1688616445,0.000165952,0.000104,1.829338,0.1417854,0.4680474,0.3688982,0.9982183,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,6,5,13,13,2.6,112,102457
A,12,0x0400000000004000,1689703178,1689703184,5.995481,1,3,eth:ipv4:tcp,5c:e9:1e:6a:fd:c6,40:06:d5:ed:7d:02,0x0800,,134.190.181.17,ca,Dalhousie University,57636,52.223.241.20,us,Amazon Technologies Inc,443,6,0x00,1,5c:e9:1e:6a:fd:c6_40:06:d5:ed:7d:02_13,-_-,443,https,13,18,1766,17046,0,1169,135.8462,300.1597,0,4.008645,0.4611908,1.091467,2.1683,294.5552,-0.1612903,-0.8122475,0x0a33,0,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,4163657872,12,1766,0,12,17046,0,1249,65535,129018.5,65535,131328,4,4,5,0,0x011b,0x0000,13,43,0x0000011e,1460,64,0x0000,0x00,0,0x00,215457610,3819375745,0.001,215457.6202,1689487726,0.02094598,0.005646976,4.008398,0.2352841,0.8878235,0.021096,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,6,1,6,14,2.333333,2.333333,1070,43386
B,12,0x0400000000004001,1689703178,1689703184,5.998932,1,3,eth:ipv4:tcp,40:06:d5:ed:7d:02,5c:e9:1e:6a:fd:c6,0x0800,,52.223.241.20,us,Amazon Technologies Inc,443,134.190.181.17,ca,Dalhousie University,57636,6,0x00,1,40:06:d5:ed:7d:02_5c:e9:1e:6a:fd:c6_18,-_-,443,https,18,13,17046,1766,0,1368,947,510.3679,0,4.00857,0.333274,0.9633104,3.000534,2841.506,0.1612903,0.8122475,0x0213,37748,27773,56,56,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,4035265352,18,17046,0,18,1766,0,10944,65160,64519.4,64512,65160,2,0,0,0,0x031b,0x0000,18,56,0x0000011e,1380,512,0x0000,0x00,0,0x00,3819377684,215457610,0.001,3819377.865,1685883806,0.000150016,0.000150016,1.890648,0.1467125,0.4836856,0.3819966,1.01103,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,6,5,13,13,2.6,130,119480
