%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	9	0x0400000000004000	1689807706.704431000	1689807706.704431000	0.000000000	1	3	eth:ipv4:tcp	40:06:d5:ed:7d:02	5c:e9:1e:6a:fd:c6	0x0800		175.24.227.209	cn	"Tencent cloud computing"	35814	134.190.181.17	ca	"Dalhousie University"	23	6	0x00	1	40:06:d5:ed:7d:02_5c:e9:1e:6a:fd:c6_1	-_-	23	telnet	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0011	65535	0	254	254	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1679809486	0	0	0	0	0	0	0	64240	64240	64240	64240	0	0	0	0	0x0002	0x3000	1	1	0x00000004	1380	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.000108032	0.000108032	0.000108032	0.000108032	0	0.000108032	0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	2	2	1	1	0
B	9	0x0400000000004001	1689807706.704539000	1689807706.704539000	0.000000000	1	3	eth:ipv4:tcp	5c:e9:1e:6a:fd:c6	40:06:d5:ed:7d:02	0x0800		134.190.181.17	ca	"Dalhousie University"	23	175.24.227.209	cn	"Tencent cloud computing"	35814	6	0x00	1	5c:e9:1e:6a:fd:c6_40:06:d5:ed:7d:02_1	-_-	23	telnet	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0011	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0x0414	0x2000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0.000108032	0	0x43	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	459	18208
A	3	0x0400000000004000	1689807696.684722000	1689807701.694578000	5.009856000	1	3	eth:ipv4:tcp	5c:e9:1e:6a:fd:c6	40:06:d5:ed:7d:02	0x0800		134.190.181.17	ca	"Dalhousie University"	50186	52.223.241.20	us	"Amazon Technologies Inc"	443	6	0x00	1	5c:e9:1e:6a:fd:c6_40:06:d5:ed:7d:02_13	-_-	443	https	13	13	1748	9430	0	1151	134.4615	296.0586	0	4.053491	0.3853736	1.029465	2.594885	348.9122	0	-0.6872428	0x0a33	0	0	64	64	0	0x02	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3618685337	12	1748	0	12	9430	0	1231	65535	129541.7	65535	131328	3	3	4	0	0x01db	0x0000	13	43	0x0000011e	1460	64	0x0000	0x00	0	0x00	2580273622	2398982268	0.004	10321094.978226	1679486607.2110040344	0.02031699	0.00165504	4.053281	0.3781507	1.018078	0.02056102	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	6	1	8	16	2.666667	2	498	18724
B	3	0x0400000000004001	1689807696.705039000	1689807701.719638000	5.014599000	1	3	eth:ipv4:tcp	40:06:d5:ed:7d:02	5c:e9:1e:6a:fd:c6	0x0800		52.223.241.20	us	"Amazon Technologies Inc"	443	134.190.181.17	ca	"Dalhousie University"	50186	6	0x00	1	40:06:d5:ed:7d:02_5c:e9:1e:6a:fd:c6_13	-_-	443	https	13	13	9430	1748	0	1368	725.3846	538.002	0	4.053579	0.3857384	1.030579	2.592431	1880.509	0	0.6872428	0x0213	1421	64105	56	56	0	0x02	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3839399679	13	9430	0	13	1748	0	5261	65160	64534.54	64512	65160	2	0	0	0	0x035b	0x0000	13	41	0x0000011e	1380	512	0x0000	0x00	0	0x00	2398983052	2580273622	0.004	9595932.663782	1680211769.1714679568	0.000244032	3.5008e-05	0.704821	0.05527831	0.180162	0.433429	1.033897	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	7	15	15	2.142857	44	33341
A	5	0x0400000000004000	1689807701.698167000	1689807706.692397000	4.994230000	1	3	eth:ipv4:tcp	5c:e9:1e:6a:fd:c6	40:06:d5:ed:7d:02	0x0800		134.190.181.17	ca	"Dalhousie University"	50188	52.223.241.20	us	"Amazon Technologies Inc"	443	6	0x00	1	5c:e9:1e:6a:fd:c6_40:06:d5:ed:7d:02_12	-_-	443	https	12	15	1748	11591	0	1151	145.6667	305.6931	0	4.022319	0.4161858	1.062241	2.402773	350.0039	-0.1111111	-0.7379114	0x0a33	0	0	64	64	0	0x02	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1297425901	11	1748	0	11	11591	0	1231	65535	128910.7	65535	131328	3	4	4	0	0x01db	0x0000	12	40	0x0000011e	1460	64	0x0000	0x00	0	0x00	3166790166	3118834460	0.001	3166790.316414	1686640916.590851344	0.021472	0.000605952	4.0221	0.2794589	0.9639236	0.02168602	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	6	1	8	16	2.666667	2	601	23200
B	5	0x0400000000004001	1689807701.719639000	1689807706.718770000	4.999131000	1	3	eth:ipv4:tcp	40:06:d5:ed:7d:02	5c:e9:1e:6a:fd:c6	0x0800		52.223.241.20	us	"Amazon Technologies Inc"	443	134.190.181.17	ca	"Dalhousie University"	50188	6	0x00	1	40:06:d5:ed:7d:02_5c:e9:1e:6a:fd:c6_15	-_-	443	https	15	12	11591	1748	0	1368	772.7333	532.2521	0	4.023101	0.3332754	0.9751405	3.000521	2318.603	0.1111111	0.7379114	0x0213	30857	34667	56	56	0	0x02	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2815476801	15	11591	0	15	1748	0	7422	65160	64523.05	64512	65160	2	0	0	0	0x035b	0x0000	15	47	0x0000011e	1380	512	0x0000	0x00	0	0x00	3118835397	3166790166	0.001	3118835.545137	1686688871.965325568	0.000214016	3.8016e-05	0.889228	0.07523186	0.2349915	0.3546908	0.9921541	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	7	15	15	2.142857	61	48637
A	8	0x0400000000004000	1689807706.695464000	1689807711.691796000	4.996332000	1	3	eth:ipv4:tcp	5c:e9:1e:6a:fd:c6	40:06:d5:ed:7d:02	0x0800		134.190.181.17	ca	"Dalhousie University"	50189	52.223.241.20	us	"Amazon Technologies Inc"	443	6	0x00	1	5c:e9:1e:6a:fd:c6_40:06:d5:ed:7d:02_12	-_-	443	https	12	15	1748	12320	0	1151	145.6667	305.6931	0	4.035672	0.4163611	1.064901	2.401762	349.8566	-0.1111111	-0.7514927	0x0a33	0	0	64	64	0	0x02	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2051057649	11	1748	0	11	12320	0	1231	65535	128831.6	65535	131328	3	4	4	0	0x01db	0x0000	12	40	0x0000011e	1460	64	0x0000	0x00	0	0x00	4171072380	1191265421	0.001	4171072.578115	1685636639.4023117640	0.02330701	0.000628992	4.035481	0.2819216	0.9667423	0.023576	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	6	1	7	15	2.5	2.142857	698	27468
B	8	0x0400000000004001	1689807706.718771000	1689807711.716268000	4.997497000	1	3	eth:ipv4:tcp	40:06:d5:ed:7d:02	5c:e9:1e:6a:fd:c6	0x0800		52.223.241.20	us	"Amazon Technologies Inc"	443	134.190.181.17	ca	"Dalhousie University"	50189	6	0x00	1	40:06:d5:ed:7d:02_5c:e9:1e:6a:fd:c6_15	-_-	443	https	15	12	12320	1748	0	1368	821.3333	551.0517	0	4.035695	0.3331665	0.9772658	3.001503	2465.234	0.1111111	0.7514927	0x0213	12751	52773	56	56	0	0x02	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3406344847	15	12320	0	15	1748	0	8151	65160	64523.05	64512	65160	2	0	0	0	0x035b	0x0000	15	47	0x0000011e	1380	512	0x0000	0x00	0	0x00	1191266351	4171072380	0.001	1191266.407582	1688616445.2895846864	0.000268992	8.3008e-05	0.871421	0.07381026	0.2302622	0.3557318	0.9937864	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	6	14	14	2.333333	78	65266
A	19	0x0400000000004000	1689807721.853784000	1689807721.853784000	0.000000000	1	3	eth:ipv4:tcp	40:06:d5:ed:7d:02	5c:e9:1e:6a:fd:c6	0x0800		175.24.227.209	cn	"Tencent cloud computing"	35814	134.190.181.17	ca	"Dalhousie University"	23	6	0x00	1	40:06:d5:ed:7d:02_5c:e9:1e:6a:fd:c6_1	-_-	23	telnet	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0011	65535	0	254	254	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1679809486	0	0	0	0	0	0	0	64240	64240	64240	64240	0	0	0	0	0x0002	0x3000	1	1	0x00000004	1380	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.000222016	0.000222016	0.000222016	0.000222016	0	0.000222016	0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	2	2	1	1	0
B	19	0x0400000000004001	1689807721.854006000	1689807721.854006000	0.000000000	1	3	eth:ipv4:tcp	5c:e9:1e:6a:fd:c6	40:06:d5:ed:7d:02	0x0800		134.190.181.17	ca	"Dalhousie University"	23	175.24.227.209	cn	"Tencent cloud computing"	35814	6	0x00	1	5c:e9:1e:6a:fd:c6_40:06:d5:ed:7d:02_1	-_-	23	telnet	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0011	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0x0414	0x2000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0.000222016	0	0x43	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	807	32996
