%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,5,0x0400000000004000,1689887386,1689887392,6.003606,1,3,eth:ipv4:tcp,5c:e9:1e:6a:fd:c6,b8:d9:4d:f1:84:60,0x0800,,192.168.2.168,7,Private network,51519,52.223.241.20,us,Amazon Technologies Inc,443,6,0x00,1,5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_11,#NAME?,443,https,11,18,1747,16668,0,1150,158.8182,313.0559,0,4.052573,0.5457824,1.149258,1.832232,290.9918,-0.2413793,-0.8102634,0x0a33,0,0,64,64,0,0x02,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2275449175,10,1747,0,10,16668,0,1230,65535,127874.5,65535,132480,3,3,4,0,0x01db,0x0000,11,37,0x0000011e,1460,64,0x0000,0x00,0,0x00,384424916,3915508890,0.001,384424.9343,1689502967,0.022376,0.02081504,4.052391,0.3143378,0.8817661,0.02258695,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,11,1,6,20,1.818182,3.333333,1679,31005
B,5,0x0400000000004001,1689887386,1689887392,6.008327,1,3,eth:ipv4:tcp,b8:d9:4d:f1:84:60,5c:e9:1e:6a:fd:c6,0x0800,,52.223.241.20,us,Amazon Technologies Inc,443,192.168.2.168,7,Private network,51519,6,0x00,1,b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_18,"SagemcomB,FR_-",443,https,18,11,16668,1747,0,1440,926,564.9713,0,4.052813,0.333796,0.9566095,2.995842,2774.15,0.2413793,0.8102634,0x0213,28578,36943,57,57,0,0x02,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3255262055,18,16668,0,18,1747,0,12499,65160,64515.79,64512,65160,2,0,0,0,0x035b,0x0000,18,56,0x0000011e,1452,512,0x0000,0x00,0,0x00,3915510688,384424916,0.004,15662043.5,1674225348,0.000210944,9.70E-05,1.719235,0.1570988,0.4710036,0.4714366,0.9996779,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,11,5,19,19,3.8,56,53599
A,11,0x0400000000004000,1689887388,1689887401,13.084054,1,3,eth:ipv4:tcp,5c:e9:1e:6a:fd:c6,b8:d9:4d:f1:84:60,0x0800,,192.168.2.168,7,Private network,51422,192.229.211.108,us,MCI Communications Services,80,6,0x00,1,5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_4,#NAME?,80,http,4,0,0,0,0,0,0,0,0,4.362336,3.271014,1.419319,0.3057157,0,1,0,0x0013,0,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3641906839,2,0,0,4,0,0,0,45,45,45,45,0,0,0,0,0x0515,0x0000,3,9,0x00000102,0,1,0x0000,0x00,0,0x00,3895057222,197733747,0.001,3895057.407,1685992339,0,65535,0,0,0,0,0,0xc3,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,11,1,6,6,0.5454546,1,1679,31005
A,17,0x0400000000004000,1689887396,1689887396,0.03267,1,3,eth:ipv4:tcp,5c:e9:1e:6a:fd:c6,b8:d9:4d:f1:84:60,0x0800,,192.168.2.168,7,Private network,51461,192.229.211.108,us,MCI Communications Services,80,6,0x00,1,5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_2,#NAME?,80,http,2,1,0,0,0,0,0,0,0,0.03267,0.016335,0.01155059,61.21825,0,0.3333333,0,0x0013,0,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2445480263,2,0,0,2,0,0,0,45,45,45,45,0,0,0,0,0x0111,0x3000,2,6,0x00000102,0,1,0x0000,0x00,0,0x00,1482232498,4279534179,1,1482232498,207654898.6,0,0.032369,0.032369,0.032369,0,0,0,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,11,1,5,5,0.4545455,1,2077,36590
B,17,0x0400000000004001,1689887396,1689887396,0,1,3,eth:ipv4:tcp,b8:d9:4d:f1:84:60,5c:e9:1e:6a:fd:c6,0x0800,,192.229.211.108,us,MCI Communications Services,80,192.168.2.168,7,Private network,51461,6,0x00,1,b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_1,"SagemcomB,FR_-",80,http,1,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.3333333,0,0x0013,65535,0,49,49,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1519140567,1,0,0,1,0,0,0,131,131,131,131,0,0,0,0,0x0111,0x2000,1,3,0x00000102,0,1,0x0000,0x00,0,0x00,4279534179,1482232466,0.01,42795340.83,1647092056,0,0.000301,0.000301,0.0001505,0.00010642,0.0325195,0.00010642,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,11,4,4,4,1,2,0
A,12,0x0400000000004000,1689887388,1689887407,18.981199,1,3,eth:ipv4:tcp,5c:e9:1e:6a:fd:c6,b8:d9:4d:f1:84:60,0x0800,,192.168.2.168,7,Private network,51426,192.229.211.108,us,MCI Communications Services,80,6,0x00,1,5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_5,#NAME?,80,http,5,0,0,0,0,0,0,0,0,4.746543,3.79624,1.44486,0.2634186,0,1,0,0x0013,0,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,205573027,2,0,0,5,0,0,0,2048,2048,2048,2048,0,0,0,0,0x0515,0x0000,4,12,0x00000102,0,1,0x0000,0x00,0,0x00,3183129800,3983700719,0.01,31831297.29,1658056104,0,65535,0,0,0,0,0,0xc3,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,11,1,3,3,0.2727273,1,2078,36590
A,14,0x0400000000004000,1689887392,1689887398,5.989026,1,3,eth:ipv4:tcp,5c:e9:1e:6a:fd:c6,b8:d9:4d:f1:84:60,0x0800,,192.168.2.168,7,Private network,51521,52.223.241.20,us,Amazon Technologies Inc,443,6,0x00,1,5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_18,#NAME?,443,https,18,20,1747,18436,0,1150,97.05556,258.064,0,4.015094,0.3327236,0.9603705,3.005497,291.7002,-0.05263158,-0.826884,0x0a33,0,0,64,64,0,0x02,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,877075616,17,1747,0,17,18436,0,1230,65535,130205.1,65535,132480,7,6,8,0,0x01db,0x0000,18,58,0x0000011e,1460,64,0x0000,0x00,0,0x00,2314764332,3459942356,0.001,2314764.442,1687572633,0.02519002,8.10E-05,4.014891,0.2099988,0.8496706,0.02542202,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,11,1,6,20,1.818182,3.333333,2078,36590
B,14,0x0400000000004001,1689887392,1689887398,5.986694,1,3,eth:ipv4:tcp,b8:d9:4d:f1:84:60,5c:e9:1e:6a:fd:c6,0x0800,,52.223.241.20,us,Amazon Technologies Inc,443,192.168.2.168,7,Private network,51521,6,0x00,1,b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_20,"SagemcomB,FR_-",443,https,20,18,18436,1747,0,1440,921.8,584.4846,0,4.014928,0.2993347,0.9214244,3.340742,3079.496,0.05263158,0.826884,0x0213,28323,37196,57,57,0,0x02,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1333416016,20,18436,0,20,1747,0,7200,65160,64513.86,64512,65160,2,0,0,0,0x035b,0x0000,20,62,0x0000011e,1452,512,0x0000,0x00,0,0x00,3459944280,2314764332,0.001,3459944.444,1686427453,0.000232,3.60E-05,1.871164,0.104694,0.4163647,0.3146928,0.9462028,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,11,5,19,19,3.8,77,72261
A,22,0x0400000000004000,1689887399,1689887399,0.039702,1,3,eth:ipv4:tcp,5c:e9:1e:6a:fd:c6,b8:d9:4d:f1:84:60,0x0800,,192.168.2.168,7,Private network,51483,192.229.211.108,us,MCI Communications Services,80,6,0x00,1,5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_2,#NAME?,80,http,2,1,0,0,0,0,0,0,0,0.039702,0.019851,0.01403678,50.3753,0,0.3333333,0,0x0013,0,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2705963735,2,0,0,2,0,0,0,45,45,45,45,0,0,0,0,0x0111,0x3000,2,6,0x00000102,0,1,0x0000,0x00,0,0x00,576541835,597609389,1,576541835,1113345564,0,0.03944499,0.03944499,0.03944499,0,0,0,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,11,1,2,2,0.1818182,1,2079,36590
B,22,0x0400000000004001,1689887399,1689887399,0,1,3,eth:ipv4:tcp,b8:d9:4d:f1:84:60,5c:e9:1e:6a:fd:c6,0x0800,,192.229.211.108,us,MCI Communications Services,80,192.168.2.168,7,Private network,51483,6,0x00,1,b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_1,"SagemcomB,FR_-",80,http,1,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.3333333,0,0x0013,65535,0,50,50,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,897487936,1,0,0,1,0,0,0,131,131,131,131,0,0,0,0,0x0111,0x2000,1,3,0x00000102,0,1,0x0000,0x00,0,0x00,597609389,576541795,0.01,5976093.756,1683911306,0,0.000256992,0.000256992,0.000128496,9.09E-05,0.03957349,9.09E-05,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,11,1,1,1,1,2,0
A,19,0x0400000000004000,1689887398,1689887404,6.004474,1,3,eth:ipv4:tcp,5c:e9:1e:6a:fd:c6,b8:d9:4d:f1:84:60,0x0800,,192.168.2.168,7,Private network,51522,52.223.241.20,us,Amazon Technologies Inc,443,6,0x00,1,5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_19,#NAME?,443,https,19,20,1747,18495,0,1150,91.94736,249.9253,0,4.075818,0.3160249,0.9483337,3.164307,290.9497,-0.02564103,-0.8273886,0x0a33,0,0,64,64,0,0x02,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3938304915,18,1747,0,18,18495,0,1230,65535,130251.4,65535,132480,8,6,9,0,0x01db,0x0000,19,61,0x0000011e,1460,64,0x0000,0x00,0,0x00,749528919,3915520733,0.001,749528.9546,1689137875,0.02147098,3.40E-05,4.075626,0.2150984,0.8620903,0.02169696,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,10,1,6,20,2,3.333333,2437,42138
B,19,0x0400000000004001,1689887398,1689887404,6.004923,1,3,eth:ipv4:tcp,b8:d9:4d:f1:84:60,5c:e9:1e:6a:fd:c6,0x0800,,52.223.241.20,us,Amazon Technologies Inc,443,192.168.2.168,7,Private network,51522,6,0x00,1,b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_20,"SagemcomB,FR_-",443,https,20,19,18495,1747,0,1440,924.75,584.6977,0,4.075869,0.3002461,0.9302424,3.330601,3079.973,0.02564103,0.8273886,0x0213,23419,42100,57,57,0,0x02,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,217283237,20,18495,0,20,1747,0,4188,65160,64513.86,64512,65160,2,0,0,0,0x035b,0x0000,20,62,0x0000011e,1452,512,0x0000,0x00,0,0x00,3915522680,749528919,0.001,3915522.866,1685971881,0.000225984,2.30E-05,1.835617,0.0971618,0.3988309,0.3122602,0.9498767,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,10,5,19,19,3.8,97,91005
A,23,0x0400000000004000,1689887404,1689887410,5.998258,1,3,eth:ipv4:tcp,5c:e9:1e:6a:fd:c6,b8:d9:4d:f1:84:60,0x0800,,192.168.2.168,7,Private network,51523,52.223.241.20,us,Amazon Technologies Inc,443,6,0x00,1,5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_19,#NAME?,443,https,19,21,1747,18662,0,1150,91.94736,252.0652,0,4.005396,0.3156978,0.9394513,3.167586,291.2512,-0.05,-0.828801,0x0a33,0,0,64,64,0,0x02,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3867854107,18,1747,0,18,18662,0,1230,65535,130359.2,65535,132480,8,6,9,0,0x01db,0x0000,19,61,0x0000011e,1460,64,0x0000,0x00,0,0x00,3040783484,1845332013,0.001,3040783.628,1686846626,0.02118502,5.00E-05,4.005267,0.2012906,0.8291232,0.02127802,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,10,1,6,20,2,3.333333,2689,47723
B,23,0x0400000000004001,1689887404,1689887410,6.00368,1,3,eth:ipv4:tcp,b8:d9:4d:f1:84:60,5c:e9:1e:6a:fd:c6,0x0800,,52.223.241.20,us,Amazon Technologies Inc,443,192.168.2.168,7,Private network,51523,6,0x00,1,b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_21,"SagemcomB,FR_-",443,https,21,19,18662,1747,0,1440,888.6667,604.6568,0,4.005346,0.2858895,0.9031987,3.497854,3108.427,0.05,0.828801,0x0213,62930,2588,57,57,0,0x02,0x4044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1036982658,21,18662,0,21,1747,0,4320,65160,64513.3,64512,65160,2,0,0,0,0x035b,0x0000,21,65,0x0000011e,1452,512,0x0000,0x00,0,0x00,1845333957,3040783484,0.001,1845334.045,1688042075,9.30E-05,2.60E-05,1.896386,0.1002076,0.4120727,0.3014982,0.9258776,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,10,5,19,19,3.8,117,109725
A,24,0x0400000000004000,1689887410,1689887416,5.994091,1,3,eth:ipv4:tcp,5c:e9:1e:6a:fd:c6,b8:d9:4d:f1:84:60,0x0800,,192.168.2.168,7,Private network,51524,52.223.241.20,us,Amazon Technologies Inc,443,6,0x00,1,5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_16,#NAME?,443,https,16,20,1747,18744,0,1150,109.1875,269.0673,0,4.046195,0.3746307,1.011967,2.669296,291.4537,-0.1111111,-0.8294861,0x4a33,0,0,64,64,0,0x02,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1581770694,15,1747,0,15,18744,1,1230,65535,129837.3,65535,132480,5,5,6,0,0x01db,0x0008,16,55,0x0000013e,1460,64,0x0000,0x00,0,0x00,4189031179,3915532749,0.001,4189031.378,1685698385,0.02459405,0.000627968,4.045949,0.2163313,0.8551706,0.02475904,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,10,1,6,20,2,3.333333,2994,53432
B,24,0x0400000000004001,1689887410,1689887416,5.996087,1,3,eth:ipv4:tcp,b8:d9:4d:f1:84:60,5c:e9:1e:6a:fd:c6,0x0800,,52.223.241.20,us,Amazon Technologies Inc,443,192.168.2.168,7,Private network,51524,6,0x00,1,b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_20,"SagemcomB,FR_-",443,https,20,16,18744,1747,0,1440,937.2,583.1378,0,4.046482,0.2998044,0.926003,3.335509,3126.039,0.1111111,0.8294861,0x0213,23698,41821,57,57,0,0x02,0x4044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1073538183,15,27671,0,20,1747,1,11520,65160,64513.86,64512,65160,2,0,0,0,0x035b,0x02c8,20,62,0x0000011e,1452,512,0x0000,0x00,0,0x00,3915534679,4189031179,0.001,3915534.865,1685971882,0.000164992,4.60E-05,1.848888,0.1163312,0.4331428,0.3326626,0.9586081,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,10,5,19,19,3.8,136,127814
